Year,WEEK,Week Ending Date,REGION,State,City,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
1962,1,01/06/1962,7,TX,Austin,7,39,4,1,1,8,25
1962,2,01/13/1962,7,TX,Austin,11,53,4,3,4,13,29
1962,3,01/20/1962,7,TX,Austin,12,54,4,0,0,10,40
1962,4,01/27/1962,7,TX,Austin,9,40,0,1,7,10,22
1962,5,02/03/1962,7,TX,Austin,8,45,1,3,2,12,27
1962,6,02/10/1962,7,TX,Austin,5,37,2,1,4,6,24
1962,7,02/17/1962,7,TX,Austin,6,42,1,1,2,11,27
1962,8,02/24/1962,7,TX,Austin,6,36,1,0,2,13,20
1962,9,03/03/1962,7,TX,Austin,6,32,0,1,1,8,22
1962,10,03/10/1962,7,TX,Austin,4,37,3,2,3,7,22
1962,11,03/17/1962,7,TX,Austin,4,41,1,3,1,8,28
1962,12,03/24/1962,7,TX,Austin,5,47,3,3,3,13,25
1962,13,03/31/1962,7,TX,Austin,3,31,1,2,2,6,20
1962,14,04/07/1962,7,TX,Austin,7,44,1,7,1,8,27
1962,15,04/14/1962,7,TX,Austin,7,40,3,4,0,10,23
1962,16,04/21/1962,7,TX,Austin,5,32,1,3,1,5,22
1962,17,04/28/1962,7,TX,Austin,6,51,2,5,3,10,31
1962,18,05/05/1962,7,TX,Austin,6,54,1,4,6,16,27
1962,19,05/12/1962,7,TX,Austin,8,47,6,2,4,6,29
1962,20,05/19/1962,7,TX,Austin,0,34,1,1,1,10,21
1962,21,05/26/1962,7,TX,Austin,5,26,0,1,3,8,14
1962,22,06/02/1962,7,TX,Austin,5,28,4,5,3,3,13
1962,23,06/09/1962,7,TX,Austin,1,38,3,3,3,5,24
1962,24,06/16/1962,7,TX,Austin,3,37,4,3,3,12,15
1962,25,06/23/1962,7,TX,Austin,3,33,6,0,1,7,19
1962,26,06/30/1962,7,TX,Austin,5,25,1,0,2,1,21
1962,27,07/07/1962,7,TX,Austin,7,33,4,1,1,6,21
1962,28,07/14/1962,7,TX,Austin,5,22,0,3,1,4,14
1962,29,07/21/1962,7,TX,Austin,3,34,3,3,0,11,17
1962,30,07/28/1962,7,TX,Austin,3,36,2,0,1,15,18
1962,31,08/04/1962,7,TX,Austin,8,55,2,2,5,16,30
1962,32,08/11/1962,7,TX,Austin,4,38,2,1,3,5,27
1962,33,08/18/1962,7,TX,Austin,6,50,5,2,7,14,22
1962,34,08/25/1962,7,TX,Austin,5,70,5,6,7,16,36
1962,35,09/01/1962,7,TX,Austin,6,35,2,2,2,10,19
1962,36,09/08/1962,7,TX,Austin,3,35,2,3,3,9,18
1962,37,09/15/1962,7,TX,Austin,2,29,3,0,1,11,14
1962,38,09/22/1962,7,TX,Austin,4,42,4,3,0,13,22
1962,39,09/29/1962,7,TX,Austin,5,38,2,4,0,9,23
1962,40,10/06/1962,7,TX,Austin,1,29,1,2,2,8,16
1962,41,10/13/1962,7,TX,Austin,5,37,3,0,0,10,24
1962,42,10/20/1962,7,TX,Austin,3,23,1,2,1,6,13
1962,43,10/27/1962,7,TX,Austin,0,28,3,0,2,5,18
1962,44,11/03/1962,7,TX,Austin,5,39,1,0,2,11,25
1962,45,11/10/1962,7,TX,Austin,0,34,2,1,3,9,19
1962,46,11/17/1962,7,TX,Austin,2,37,2,4,2,7,22
1962,47,11/24/1962,7,TX,Austin,2,35,4,4,1,8,18
1962,48,12/01/1962,7,TX,Austin,7,49,3,4,0,15,27
1962,49,12/08/1962,7,TX,Austin,3,35,3,1,4,14,13
1962,50,12/15/1962,7,TX,Austin,5,35,3,1,1,9,21
1962,51,12/22/1962,7,TX,Austin,7,44,0,2,2,9,31
1962,52,12/29/1962,7,TX,Austin,5,36,1,3,1,9,22
1963,1,01/05/1963,7,TX,Austin,2,30,5,2,2,1,20
1963,2,01/12/1963,7,TX,Austin,11,65,6,2,7,12,38
1963,3,01/19/1963,7,TX,Austin,11,52,4,4,2,14,28
1963,4,01/26/1963,7,TX,Austin,7,41,4,2,7,8,20
1963,5,02/02/1963,7,TX,Austin,7,32,2,1,3,4,22
1963,6,02/09/1963,7,TX,Austin,5,40,4,0,1,12,23
1963,7,02/16/1963,7,TX,Austin,4,36,1,0,4,3,28
1963,8,02/23/1963,7,TX,Austin,3,35,3,2,4,7,19
1963,9,03/02/1963,7,TX,Austin,4,37,0,0,3,4,30
1963,10,03/09/1963,7,TX,Austin,9,54,3,3,8,12,28
1963,11,03/16/1963,7,TX,Austin,13,44,1,2,0,6,35
1963,12,03/23/1963,7,TX,Austin,14,54,4,1,3,9,37
1963,13,03/30/1963,7,TX,Austin,10,39,4,3,1,9,22
1963,14,04/06/1963,7,TX,Austin,12,64,2,1,2,27,32
1963,15,04/13/1963,7,TX,Austin,9,41,4,3,0,8,26
1963,16,04/20/1963,7,TX,Austin,4,39,1,3,2,12,21
1963,17,04/27/1963,7,TX,Austin,5,37,3,2,4,6,22
1963,18,05/04/1963,7,TX,Austin,5,31,2,3,1,5,20
1963,19,05/11/1963,7,TX,Austin,4,46,4,1,0,10,31
1963,20,05/18/1963,7,TX,Austin,3,38,5,4,0,12,17
1963,21,05/25/1963,7,TX,Austin,5,29,3,0,2,8,16
