"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00116616","PARK FOREST, IL US","1962-01-01","0.00","23","14"
"USC00116616","PARK FOREST, IL US","1962-01-02","0.00","32","14"
"USC00116616","PARK FOREST, IL US","1962-01-03","0.00","38","27"
"USC00116616","PARK FOREST, IL US","1962-01-04","0.00","39","27"
"USC00116616","PARK FOREST, IL US","1962-01-05","0.25","40","32"
"USC00116616","PARK FOREST, IL US","1962-01-06","0.50","38","30"
"USC00116616","PARK FOREST, IL US","1962-01-07","0.00","33","13"
"USC00116616","PARK FOREST, IL US","1962-01-08","0.20","23","1"
"USC00116616","PARK FOREST, IL US","1962-01-09","0.00","2","-12"
"USC00116616","PARK FOREST, IL US","1962-01-10","0.00","2","-12"
"USC00116616","PARK FOREST, IL US","1962-01-11","0.00","9","-5"
"USC00116616","PARK FOREST, IL US","1962-01-12","0.00","21","4"
"USC00116616","PARK FOREST, IL US","1962-01-13","0.00","32",
"USC00116616","PARK FOREST, IL US","1962-01-14","0.58","33","26"
"USC00116616","PARK FOREST, IL US","1962-01-15","0.06","32","3"
"USC00116616","PARK FOREST, IL US","1962-01-16","0.00","31","-6"
"USC00116616","PARK FOREST, IL US","1962-01-17","0.00","10","-10"
"USC00116616","PARK FOREST, IL US","1962-01-18","0.00","10","-5"
"USC00116616","PARK FOREST, IL US","1962-01-19","0.00","19","2"
"USC00116616","PARK FOREST, IL US","1962-01-20","0.10","17","-4"
"USC00116616","PARK FOREST, IL US","1962-01-21","0.00","31","15"
"USC00116616","PARK FOREST, IL US","1962-01-22","0.00","26","5"
"USC00116616","PARK FOREST, IL US","1962-01-23","0.00","20","-4"
"USC00116616","PARK FOREST, IL US","1962-01-24","0.00","33","12"
"USC00116616","PARK FOREST, IL US","1962-01-25","0.00","36","11"
"USC00116616","PARK FOREST, IL US","1962-01-26","0.54","37","27"
"USC00116616","PARK FOREST, IL US","1962-01-27","0.00","28","14"
"USC00116616","PARK FOREST, IL US","1962-01-28","0.00","30","18"
"USC00116616","PARK FOREST, IL US","1962-01-29","0.00","34","21"
"USC00116616","PARK FOREST, IL US","1962-01-30","0.00","35","-3"
"USC00116616","PARK FOREST, IL US","1962-01-31","0.00","21","-1"
"USC00116616","PARK FOREST, IL US","1962-02-01","0.04","20","4"
"USC00116616","PARK FOREST, IL US","1962-02-02","0.00","32","3"
"USC00116616","PARK FOREST, IL US","1962-02-03","0.00","36","28"
"USC00116616","PARK FOREST, IL US","1962-02-04","0.00","47","35"
"USC00116616","PARK FOREST, IL US","1962-02-05","0.00","36",
"USC00116616","PARK FOREST, IL US","1962-02-06","0.00","8","-4"
"USC00116616","PARK FOREST, IL US","1962-02-07","0.00","25","-2"
"USC00116616","PARK FOREST, IL US","1962-02-08","0.00","31","10"
"USC00116616","PARK FOREST, IL US","1962-02-09","0.00","30","22"
"USC00116616","PARK FOREST, IL US","1962-02-10","0.00","24","9"
"USC00116616","PARK FOREST, IL US","1962-02-11","0.00","36","18"
"USC00116616","PARK FOREST, IL US","1962-02-12","0.00","38","19"
"USC00116616","PARK FOREST, IL US","1962-02-13","0.00","40","27"
"USC00116616","PARK FOREST, IL US","1962-02-14","0.00","36","31"
"USC00116616","PARK FOREST, IL US","1962-02-15","0.00","34","29"
"USC00116616","PARK FOREST, IL US","1962-02-16","0.00","36","28"
"USC00116616","PARK FOREST, IL US","1962-02-17","0.00","33","26"
"USC00116616","PARK FOREST, IL US","1962-02-18","0.50","33","24"
"USC00116616","PARK FOREST, IL US","1962-02-19","0.00","34","17"
"USC00116616","PARK FOREST, IL US","1962-02-20","0.00","26","11"
"USC00116616","PARK FOREST, IL US","1962-02-21","0.22","35","23"
"USC00116616","PARK FOREST, IL US","1962-02-22","0.00","35","23"
"USC00116616","PARK FOREST, IL US","1962-02-23","0.30","26","7"
"USC00116616","PARK FOREST, IL US","1962-02-24","0.00","30","20"
"USC00116616","PARK FOREST, IL US","1962-02-25","0.00","40","21"
"USC00116616","PARK FOREST, IL US","1962-02-26","0.12","37","28"
"USC00116616","PARK FOREST, IL US","1962-02-27","0.00","33","22"
"USC00116616","PARK FOREST, IL US","1962-02-28","0.00","28","3"
"USC00116616","PARK FOREST, IL US","1962-03-01","0.00","20","-5"
"USC00116616","PARK FOREST, IL US","1962-03-02","0.00","25","6"
