"","End_of_Week","Year","Week","Region","State","City","Pneumonia_and_Flu_Deaths","All_Deaths","Ages_Less_Than_1","Ages_1_to_24","Ages_25_to_44","Ages_45_to_64","Ages_over_65","PRCP","TMAX","TMIN"
"1",1962-01-06,1962,1,3,"IL","Chicago",51,859,62,29,62,266,440,1.16,34.8333333333333,23.3333333333333
"2",1962-01-13,1962,2,3,"IL","Chicago",40,839,48,22,59,225,485,0.19,14.4285714285714,-0.428571428571429
"3",1962-01-20,1962,3,3,"IL","Chicago",55,894,58,23,74,260,479,0.64,17.4285714285714,2.85714285714286
"4",1962-01-27,1962,4,3,"IL","Chicago",45,877,54,30,69,247,477,0.33,29,13.7142857142857
"5",1962-02-03,1962,5,3,"IL","Chicago",45,847,49,29,52,241,476,0.25,28.5714285714286,12.5714285714286
"6",1962-02-10,1962,6,3,"IL","Chicago",66,856,50,26,59,257,464,0.02,27.7142857142857,10.1428571428571
"7",1962-02-17,1962,7,3,"IL","Chicago",62,893,41,26,58,258,510,0.11,34.8571428571429,27.8571428571429
"8",1962-02-24,1962,8,3,"IL","Chicago",50,812,36,25,47,231,473,0.62,29.8571428571429,16.4285714285714
"9",1962-03-03,1962,9,3,"IL","Chicago",52,911,49,19,56,269,518,0.25,28.7142857142857,12.7142857142857
"10",1962-03-10,1962,10,3,"IL","Chicago",45,823,49,26,53,243,452,0.46,34,26.8571428571429
"11",1962-03-17,1962,11,3,"IL","Chicago",51,794,39,20,50,210,475,0.37,34.7142857142857,25.7142857142857
"12",1962-03-24,1962,12,3,"IL","Chicago",43,763,54,23,50,227,409,0.34,42,30.5714285714286
"13",1962-03-31,1962,13,3,"IL","Chicago",48,764,46,36,49,209,424,0.16,54.7142857142857,35
"14",1962-04-07,1962,14,3,"IL","Chicago",40,700,47,16,50,225,362,0.34,48.1428571428571,34.5714285714286
"15",1962-04-14,1962,15,3,"IL","Chicago",36,769,47,15,58,254,395,0.62,49.2857142857143,33.1428571428571
"16",1962-04-21,1962,16,3,"IL","Chicago",34,674,49,12,49,188,376,0.05,56,34.5714285714286
"17",1962-04-28,1962,17,3,"IL","Chicago",46,837,47,16,64,240,470,0.09,77,51
"18",1962-05-05,1962,18,3,"IL","Chicago",33,771,51,21,74,262,363,0.38,74.4285714285714,49.8571428571429
"19",1962-05-12,1962,19,3,"IL","Chicago",42,779,46,23,60,241,409,1.97,59.8571428571429,44
"20",1962-05-19,1962,20,3,"IL","Chicago",35,786,46,25,53,236,426,0,89.2857142857143,67.8571428571429
"21",1962-05-26,1962,21,3,"IL","Chicago",49,811,44,20,61,248,438,0.81,73.1428571428571,54.7142857142857
"22",1962-06-02,1962,22,3,"IL","Chicago",37,684,28,21,66,184,385,0.26,73.8571428571429,55.2857142857143
"23",1962-06-09,1962,23,3,"IL","Chicago",34,728,63,20,63,219,363,1.18,77.1428571428571,56.1428571428571
"24",1962-06-16,1962,24,3,"IL","Chicago",29,648,39,19,53,205,332,0.8,77.7142857142857,52.1428571428571
"25",1962-06-23,1962,25,3,"IL","Chicago",31,778,65,21,52,214,426,0.15,82.7142857142857,57.8571428571429
"26",1962-06-30,1962,26,3,"IL","Chicago",23,664,49,21,57,194,343,0,85.8571428571429,60
"27",1962-07-07,1962,27,3,"IL","Chicago",31,663,46,17,54,192,354,2.91,80.1428571428571,62.2857142857143
"28",1962-07-14,1962,28,3,"IL","Chicago",34,771,68,25,66,231,381,0.48,81.8571428571429,60.2857142857143
"29",1962-07-21,1962,29,3,"IL","Chicago",19,618,33,20,45,186,334,0.54,77.5714285714286,59.7142857142857
