Year,WEEK,Week Ending Date,REGION,State,City,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
1962,1,01/06/1962,7,TX,Houston,5,258,15,11,29,78,125
1962,2,01/13/1962,7,TX,Houston,2,132,12,8,8,34,70
1962,3,01/20/1962,7,TX,Houston,15,282,29,10,23,98,122
1962,4,01/27/1962,7,TX,Houston,3,193,12,13,19,53,96
1962,5,02/03/1962,7,TX,Houston,2,197,23,11,16,60,87
1962,6,02/10/1962,7,TX,Houston,7,145,13,5,16,37,74
1962,7,02/17/1962,7,TX,Houston,5,176,16,8,14,52,86
1962,8,02/24/1962,7,TX,Houston,5,156,12,10,15,50,69
1962,9,03/03/1962,7,TX,Houston,6,202,12,13,29,70,78
1962,10,03/10/1962,7,TX,Houston,3,164,15,6,19,52,72
1962,11,03/17/1962,7,TX,Houston,4,190,15,11,25,58,81
1962,12,03/24/1962,7,TX,Houston,3,176,11,0,18,63,84
1962,13,03/31/1962,7,TX,Houston,2,237,13,7,31,77,109
1962,14,04/07/1962,7,TX,Houston,4,181,13,15,20,48,85
1962,15,04/14/1962,7,TX,Houston,5,163,14,8,22,56,63
1962,16,04/21/1962,7,TX,Houston,4,140,10,8,21,39,62
1962,17,04/28/1962,7,TX,Houston,4,203,18,17,17,68,83
1962,18,05/05/1962,7,TX,Houston,2,217,20,15,17,75,90
1962,19,05/12/1962,7,TX,Houston,2,141,19,3,10,48,61
1962,20,05/19/1962,7,TX,Houston,3,166,14,9,18,55,70
1962,21,05/26/1962,7,TX,Houston,2,177,12,8,16,59,82
1962,22,06/02/1962,7,TX,Houston,4,162,20,4,9,46,83
1962,23,06/09/1962,7,TX,Houston,5,149,7,5,17,40,80
1962,24,06/16/1962,7,TX,Houston,5,135,19,9,12,34,61
1962,25,06/23/1962,7,TX,Houston,4,169,15,11,22,53,68
1962,26,06/30/1962,7,TX,Houston,3,203,19,17,15,67,85
1962,27,07/07/1962,7,TX,Houston,1,128,11,9,12,41,55
1962,28,07/14/1962,7,TX,Houston,4,190,24,6,22,56,82
1962,29,07/21/1962,7,TX,Houston,0,185,11,9,25,65,75
1962,30,07/28/1962,7,TX,Houston,0,197,14,15,22,48,98
1962,31,08/04/1962,7,TX,Houston,2,226,19,15,22,72,98
1962,32,08/11/1962,7,TX,Houston,6,157,15,8,14,51,69
1962,33,08/18/1962,7,TX,Houston,2,162,15,10,13,46,78
1962,34,08/25/1962,7,TX,Houston,4,172,23,7,9,49,84
1962,35,09/01/1962,7,TX,Houston,5,210,20,12,24,60,94
1962,36,09/08/1962,7,TX,Houston,4,119,5,4,17,40,53
1962,37,09/15/1962,7,TX,Houston,3,169,11,3,20,50,85
1962,38,09/22/1962,7,TX,Houston,0,171,12,8,15,52,84
1962,39,09/29/1962,7,TX,Houston,0,168,21,8,13,49,77
1962,40,10/06/1962,7,TX,Houston,4,174,15,5,22,52,80
1962,41,10/13/1962,7,TX,Houston,2,127,10,2,17,42,56
1962,42,10/20/1962,7,TX,Houston,2,172,15,7,20,51,79
