,MONTH,PRCP,TMAX,TMIN,TAVG,Pneumonia_and_Flu_Deaths,YEAR,month_only
337,1990-01,2.68,65.71428571,52.03571429,58.875,72,1990,1
338,1990-02,3.6,68.25,51.53571429,59.89285714,72,1990,2
339,1990-03,5.61,71.74285714,56.2,63.97142857,90,1990,3
340,1990-04,4.37,77.25,61.10714286,69.17857143,72,1990,4
341,1990-05,3.76,84.03571429,70.35714286,77.19642857,72,1990,5
342,1990-06,2.1,93.08571429,75.97142857,84.52857143,90,1990,6
343,1990-07,1.85,90.35714286,74.82142857,82.58928571,72,1990,7
344,1990-08,0.75,93.25,75.14285714,84.19642857,72,1990,8
345,1990-09,6.05,90.02857143,73.37142857,81.7,90,1990,9
346,1990-10,2.83,80.46428571,60.32142857,70.39285714,72,1990,10
347,1990-11,2.87,74.96428571,53.82142857,64.39285714,81,1990,11
348,1990-12,2.87,66.6,48.71428571,57.65714286,139,1990,12
349,1991-01,9.48,57.28571429,42.85714286,50.07142857,142,1991,1
350,1991-02,5.36,67.03571429,50.17857143,58.60714286,143,1991,2
351,1991-03,2.38,72.37142857,55.68571429,64.02857143,182,1991,3
352,1991-04,10.25,79.25,65.57142857,72.41071429,105,1991,4
353,1991-05,7.65,84.53571429,70.21428571,77.375,109,1991,5
354,1991-06,11.76,89.57142857,74.34285714,81.95714286,132,1991,6
355,1991-07,1.42,92.17857143,76.60714286,84.39285714,107,1991,7
356,1991-08,2.84,92.48571429,76.54285714,84.51428571,91,1991,8
357,1991-09,8.53,86.96428571,71.64285714,79.30357143,109,1991,9
358,1991-10,0.01,84.5,64.03571429,74.26785714,144,1991,10
359,1991-11,6.65,70.22857143,52.48571429,61.35714286,140,1991,11
360,1991-12,7.03,66.03571429,53.5,59.76785714,136,1991,12
361,1992-01,5.9,61.21428571,45.46428571,53.33928571,149,1992,1
362,1992-02,8.9,67.82857143,52.57142857,60.2,205,1992,2
363,1992-03,4.15,74.17857143,56.71428571,65.44642857,172,1992,3
364,1992-04,4.51,77.60714286,60.57142857,69.08928571,96,1992,4
365,1992-05,7.83,81.91428571,65.62857143,73.77142857,175,1992,5
366,1992-06,4.85,90.39285714,73.60714286,82,112,1992,6
367,1992-07,4.64,91.67857143,76,83.83928571,133,1992,7
368,1992-08,3.92,90.11428571,73.74285714,81.92857143,139,1992,8
369,1992-09,4.62,88.75,73.21428571,80.98214286,104,1992,9
370,1992-10,1.47,82.94285714,62.54285714,72.74285714,171,1992,10
371,1992-11,9.74,66.78571429,50,58.39285714,101,1992,11
372,1992-12,3.92,64.71428571,48.25,56.48214286,142,1992,12
373,1993-01,6.67,64.08571429,48.34285714,56.21428571,200,1993,1
374,1993-02,2.23,66.39285714,49.35714286,57.875,152,1993,2
375,1993-03,5.95,69.64285714,52.75,61.19642857,147,1993,3
376,1993-04,3.62,75,57.46428571,66.23214286,117,1993,4
377,1993-05,6.11,81.45714286,65.85714286,73.65714286,172,1993,5
378,1993-06,9.03,87.71428571,74.53571429,81.125,129,1993,6
379,1993-07,3.75,92.17142857,76.4,84.28571429,152,1993,7
380,1993-08,1.11,94.25,76.60714286,85.42857143,111,1993,8
381,1993-09,1.5,90.82142857,73.46428571,82.14285714,123,1993,9
382,1993-10,11.67,81.22857143,63.02857143,72.12857143,138,1993,10
383,1993-11,7.13,66.5,49.60714286,58.05357143,112,1993,11
384,1993-12,2.31,65.14285714,48.39285714,56.76785714,153,1993,12
385,1994-01,2.62,62.88571429,45.54285714,54.21428571,213,1994,1
386,1994-02,1.08,64.28571429,47.03571429,55.66071429,162,1994,2
387,1994-03,1.69,72.85714286,55,63.92857143,161,1994,3
388,1994-04,4.26,76.85714286,59.37142857,68.11428571,178,1994,4
389,1994-05,7.19,83.32142857,66.85714286,75.08928571,110,1994,5
390,1994-06,7.34,88.64285714,73.39285714,81.01785714,97,1994,6
391,1994-07,0.36,93.2,75.37142857,84.28571429,131,1994,7
392,1994-08,3.82,90.32142857,74.07142857,82.19642857,130,1994,8
393,1994-09,1.85,88.10714286,71.42857143,79.76785714,101,1994,9
394,1994-10,19.4,81.85714286,63.68571429,72.77142857,159,1994,10
395,1994-11,0.32,76.03571429,58.07142857,67.05357143,107,1994,11
396,1994-12,8.73,66.37142857,50.91428571,58.64285714,170,1994,12
397,1995-01,6.13,63.92857143,46.32142857,55.125,146,1995,1
398,1995-02,1.22,67.14285714,47.10714286,57.125,185,1995,2
399,1995-03,5.02,71.10714286,54.03571429,62.57142857,146,1995,3
400,1995-04,5.37,76.2,57.17142857,66.68571429,150,1995,4
401,1995-05,2.83,85.32142857,69.21428571,77.26785714,118.5,1995,5
402,1995-06,6.63,88.03571429,70.89285714,79.46428571,98,1995,6
403,1995-07,5.5,92.4,74.97142857,83.68571429,111,1995,7
404,1995-08,2.32,91.78571429,76.14285714,83.96428571,83,1995,8
405,1995-09,4.72,91.45714286,73,82.22857143,116,1995,9
406,1995-10,2.07,81.82142857,61.53571429,71.67857143,113,1995,10
407,1995-11,5.07,72.14285714,54.21428571,63.17857143,72,1995,11
408,1995-12,6.61,65.65714286,48.45714286,57.05714286,160,1995,12
409,1996-01,1.74,63.17857143,41.53571429,52.35714286,136,1996,1
410,1996-02,0.14,67.82142857,46.92857143,57.375,149,1996,2
411,1996-03,1.31,68.57142857,48.4,58.48571429,154,1996,3
412,1996-04,1.19,79.21428571,58.10714286,68.66071429,148,1996,4
413,1996-05,0.7,86.17857143,68.60714286,77.39285714,133,1996,5
414,1996-06,9.35,90.57142857,73.48571429,82.02857143,134,1996,6
415,1996-07,0.15,93.67857143,76.07142857,84.875,90,1996,7
