"","MONTH","PRCP","TMAX","TMIN","TAVG","Pneumonia_and_Flu_Deaths","All_Deaths"
"1","1962-01",1.73,58.7738095238095,37.5238095238095,48.1488095238095,25,865
"2","1962-02",0.53,75.3928571428572,51.8571428571428,63.625,19,674
"3","1962-03",1.12,70.1142857142857,47.7714285714286,58.9428571428572,18,969
"4","1962-04",4.62,77.4285714285714,57.2857142857143,67.3571428571429,17,687
"5","1962-05",0.85,85.6428571428572,64.3928571428572,75.0178571428572,9,701
"6","1962-06",7.89,88.2285714285714,71.4857142857143,79.8571428571429,21,818
"7","1962-07",0.07,94,74,84,5,700
"8","1962-08",2.31,97.7142857142856,74.5714285714286,86.1428571428572,14,717
"9","1962-09",4.43,90.9428571428572,72.7714285714286,81.8571428571428,12,837
"10","1962-10",2.22,86.5357142857143,65.6071428571428,76.0714285714286,12,629
"11","1962-11",3.83,71.1071428571429,50.3928571428572,60.75,13,641
"12","1962-12",7.53,64.6857142857143,47.0857142857143,55.8857142857143,19,919
"13","1963-01",2.98,58.4642857142857,37.9642857142857,48.2142857142857,25,745
"14","1963-02",2.67,62.25,40.5714285714286,51.4107142857143,25,777
"15","1963-03",0.59,74.2285714285714,52.7714285714286,63.5,55,1182
"16","1963-04",0.7,83.6785714285714,64.1071428571429,73.8928571428571,23,689
"17","1963-05",0.27,87.5,65.8928571428571,76.6964285714286,13,681
"18","1963-06",7.3,92.4,71.5714285714286,81.9857142857143,26,885
"19","1963-07",3.11,93.1071428571428,74.8928571428572,84,14,669
"20","1963-08",1.88,94.8571428571429,73.9428571428571,84.4,20,917
"21","1963-09",1.94,90.1785714285714,72.0357142857143,81.1071428571429,12,636
"22","1963-10",0.3,87.2142857142857,63.5,75.3571428571429,17,679
"23","1963-11",5.72,75.3714285714286,54.6857142857143,65.0285714285714,12,851
"24","1963-12",4.83,57.6428571428571,37.1785714285714,47.4107142857143,12,713
"25","1964-01",1.89,59.75,39.8928571428572,49.8214285714286,34,958
"26","1964-02",5.97,59.4857142857143,41.4285714285714,50.4571428571429,29,1008
"27","1964-03",2.24,70.5357142857143,50.1785714285714,60.3571428571429,19,728
"28","1964-04",1.4,77,61.2857142857143,69.1428571428572,24,732
"29","1964-05",1.6,84.1428571428572,66.2285714285714,75.1857142857143,18,931
"30","1964-06",2.16,89.2142857142857,70.7142857142857,79.9642857142857,10,698
"31","1964-07",1.64,93.7857142857143,73.3571428571428,83.5714285714286,13,718
"32","1964-08",3.26,93.1714285714286,75.1428571428572,84.1571428571429,33,997
"33","1964-09",5.25,89.4285714285714,72.1071428571429,80.7678571428571,15,759
"34","1964-10",3.86,79.2857142857143,56.9714285714286,68.1285714285714,32,944
"35","1964-11",4.28,75.6071428571428,55.7142857142857,65.6607142857143,19,693
"36","1964-12",5.57,63.75,44.4642857142857,54.1071428571429,16,740
"37","1965-01",1.87,68.8571428571428,46.5428571428571,57.7,34,1135
"38","1965-02",3.22,64.3928571428572,44.1071428571428,54.25,28,745
"39","1965-03",0.67,68.75,46.5,57.625,45,936
"40","1965-04",0.96,82.2142857142857,65,73.6071428571428,26,810
"41","1965-05",6.65,84.2571428571429,67.1428571428572,75.7,20,936
"42","1965-06",3.05,91.2857142857143,73.5714285714286,82.4285714285714,16,770
"43","1965-07",1.64,94.7428571428571,75.3714285714286,85.0571428571429,7,784
"44","1965-08",2.29,92.9642857142857,73.8214285714286,83.3928571428572,36,923
"45","1965-09",3.27,92.2142857142857,73.3214285714286,82.7678571428571,17,754
"46","1965-10",3.38,80.3428571428572,59.9428571428571,70.1428571428571,25,942
"47","1965-11",4.77,79,61.2142857142858,70.1071428571428,17,744
"48","1965-12",6.16,67.8571428571428,50.2857142857143,59.0714285714286,32,799
"49","1966-01",4.39,58.6571428571429,41.9142857142857,50.2857142857143,37,1063
"50","1966-02",7.85,61.6428571428572,42.3214285714285,51.9821428571428,34,852
"51","1966-03",0.45,70.5714285714286,50.3928571428572,60.4821428571428,38,900
"52","1966-04",9.74,78.4,60.7714285714286,69.5857142857143,40,1082
"53","1966-05",10.75,82.9642857142857,68.1785714285714,75.5714285714286,25,758
"54","1966-06",4.57,88.4642857142857,70.75,79.6071428571429,16,810
"55","1966-07",1.73,92.3142857142857,75.0857142857143,83.7,21,938
"56","1966-08",6.43,90.3214285714286,74.8928571428572,82.6071428571428,19,786
"57","1966-09",4.72,89.2857142857143,71,80.1428571428572,10,781
"58","1966-10",5.45,81.8857142857143,60.8,71.3428571428572,16,1001
"59","1966-11",1.55,76.5357142857143,56.0357142857143,66.2857142857143,22,735
"60","1966-12",1.54,64.9428571428571,43.6857142857143,54.3142857142857,22,1039
"61","1967-01",2.41,64.3928571428571,43.75,54.0714285714286,32,960
"62","1967-02",1.97,67.75,42.25,55,22,791
"63","1967-03",1.93,76.25,54.2857142857143,65.2678571428572,31,853
"64","1967-04",4.52,84.3714285714286,65.8857142857143,75.1285714285714,26,970
"65","1967-05",1.32,85.4642857142857,65.6071428571428,75.5357142857143,22,830
"66","1967-06",1.39,91.5,71.6428571428571,81.5714285714286,11,831
"67","1967-07",7.77,92.3428571428571,72.6285714285714,82.4857142857143,22,1032
"68","1967-08",1.6,89.8214285714286,72.6071428571428,81.2142857142857,8,748
"69","1967-09",4.84,86.6285714285714,69.5714285714286,78.1,20,991
"70","1967-10",2.32,83.2142857142857,59.3571428571428,71.2857142857143,25,796
"71","1967-11",1.36,74.3571428571428,52.9642857142857,63.6607142857143,20,811
"72","1967-12",4.99,66.2,48.1428571428572,57.1714285714286,30,1067
"73","1968-01",7.92,58,42.5357142857143,50.2678571428572,45,1017
"74","1968-02",2,61.5357142857143,42.3928571428571,51.9642857142857,56,1058
"75","1968-03",3.04,69.3142857142857,46.9714285714286,58.1428571428571,52,1265
"76","1968-04",2.89,79.5714285714286,62.2857142857143,70.9285714285714,28,832
"77","1968-05",10.7,84.4285714285714,66.8214285714286,75.625,16,886
"78","1968-06",13.85,87.4285714285714,72.2571428571429,79.8428571428571,14,1080
"79","1968-07",6.14,90.1428571428572,74.3928571428571,82.2678571428572,16,833
