"","MONTH","Pneumonia.and.Influenza.Deaths","All.Deaths","PRCP","TAVG","TMAX","TMIN"
"1","1962-01",25,865,1.74,49.3,60.6,38
"2","1962-02",19,674,0.72,63.9,74.6,53.2
"3","1962-03",18,969,0.94,58.9,70.4,47.4
"4","1962-04",17,687,4.81,68.1,77.9,58.2
"5","1962-05",9,701,1.15,75.6,86.1,65.1
"6","1962-06",21,818,7.4,79.8,88.2,71.4
"7","1962-07",5,700,0.07,84.1,94.4,73.8
"8","1962-08",14,717,2.77,85.9,96.8,75
"9","1962-09",12,837,3.97,81.2,90.4,72
"10","1962-10",12,629,3.13,74.6,84.9,64.3
"11","1962-11",13,641,5.68,60.1,70.3,49.9
"12","1962-12",19,919,4.78,54.7,63.7,45.8
"13","1963-01",25,745,3.09,48.3,58.1,38.6
"14","1963-02",25,777,2.59,52.6,64.2,40.9
"15","1963-03",55,1182,0.56,64.8,75.5,54.2
"16","1963-04",23,689,0.92,74.5,84.1,64.8
"17","1963-05",13,681,0.62,77.4,88.3,66.6
"18","1963-06",26,885,7.79,82,92.5,71.5
"19","1963-07",14,669,2.08,84.3,93.5,75
"20","1963-08",20,917,1.85,84.3,94.8,73.8
"21","1963-09",12,636,1.94,80.4,89.7,71.1
"22","1963-10",17,679,0.3,74.9,86.8,63
"23","1963-11",12,851,5.72,64,74.1,54
"24","1963-12",12,713,4.83,47.1,57.2,36.9
"25","1964-01",34,958,2.89,51.5,61.2,41.9
"26","1964-02",29,1008,4.97,49.4,58.6,40.2
"27","1964-03",19,728,2.24,60.4,70.6,50.2
"28","1964-04",24,732,1.63,70.2,78.2,62.1
"29","1964-05",18,931,2.25,75.8,84.4,67.1
"30","1964-06",10,698,1.89,80.3,89.4,71.3
"31","1964-07",13,718,1.68,83.7,93.8,73.6
"32","1964-08",33,997,2.61,84.3,93.6,75.1
"33","1964-09",15,759,6.77,79.3,87.5,71.1
"34","1964-10",32,944,2.35,67.7,79.6,55.8
"35","1964-11",19,693,4.28,65,75,55
"36","1964-12",16,740,5.58,55.9,65.5,46.3
"37","1965-01",34,1135,1.87,56,67.5,44.5
"38","1965-02",28,745,3.28,55,64.8,45.2
"39","1965-03",45,936,0.81,58.7,69.7,47.7
"40","1965-04",26,810,0.95,73.5,82.6,64.3
"41","1965-05",20,936,6.54,77.1,85.1,69.1
"42","1965-06",16,770,3.06,83,91.9,74.1
"43","1965-07",7,784,1.57,85.1,94.9,75.3
"44","1965-08",36,923,2.3,83.5,93.1,73.8
"45","1965-09",17,754,3.57,81.2,90.5,71.8
"46","1965-10",25,942,3.09,69.3,79.8,58.9
"47","1965-11",17,744,4.82,69.1,78,60.2
"48","1965-12",32,799,6.15,58.9,67.9,49.9
"49","1966-01",37,1063,4.46,48.3,56.5,40.1
"50","1966-02",34,852,7.75,52.8,62,43.6
"51","1966-03",38,900,2.2,61.4,71.7,51.3
"52","1966-04",40,1082,7.98,70.5,79.2,61.8
"53","1966-05",25,758,11.21,75.9,83.4,68.4
"54","1966-06",16,810,4.42,80,89,71
"55","1966-07",21,938,1.46,84.2,92.8,75.7
"56","1966-08",19,786,7.11,82.4,90.1,74.6
"57","1966-09",10,781,4.01,79.6,89.4,69.8
"58","1966-10",16,1001,5.45,69.7,80.1,59.3
"59","1966-11",22,735,1.56,64.7,75,54.4
"60","1966-12",22,1039,1.54,54.2,64.7,43.7
"61","1967-01",32,960,2.42,54.9,65.7,44.1
"62","1967-02",22,791,2.17,54.5,66.7,42.3
"63","1967-03",31,853,1.83,67.5,78.5,56.6
"64","1967-04",26,970,4.43,75.7,84.6,66.8
"65","1967-05",22,830,2.54,75.9,85.8,66
"66","1967-06",11,831,0.17,82.5,93.1,71.9
"67","1967-07",22,1032,7.77,82.1,91.5,72.8
"68","1967-08",8,748,1.6,81,89.6,72.5
"69","1967-09",20,991,4.85,77.5,86,69.1
"70","1967-10",25,796,3.18,70.5,82.4,58.7
"71","1967-11",20,811,0.5,64.1,74.5,53.7
"72","1967-12",30,1067,5.02,55.4,64.1,46.7
"73","1968-01",45,1017,8.02,52.7,60.6,44.7
"74","1968-02",56,1058,1.99,50.4,60.8,39.9
"75","1968-03",52,1265,2.92,58.9,69.6,48.3
"76","1968-04",28,832,3.02,71.1,79.9,62.3
"77","1968-05",16,886,13.24,76.3,85.1,67.5
"78","1968-06",14,1080,11.18,80.4,87.7,73.2
"79","1968-07",16,833,6.5,82.4,90.4,74.4
"80","1968-08",11,1035,2.91,83.9,92.8,75.1
"81","1968-09",9,723,3.88,78.5,87.6,69.5
"82","1968-10",12,899,3.91,73.5,83.7,63.3
"83","1968-11",20,940,2.71,59.7,71,48.3
"84","1968-12",15,925,1.2,55.7,66.2,45.1
"85","1969-01",51,1172,2.74,56.7,65.4,48
"86","1969-02",58,1080,5.31,56.9,65.3,48.5
"87","1969-03",29,1144,3.19,56.1,65.3,46.8
"88","1969-04",19,941,3.34,70.3,79.4,61.1
"89","1969-05",31,1096,4.73,75.3,84.2,66.5
"90","1969-06",19,923,1.89,81.3,90.8,71.8
"91","1969-07",18,883,3.92,85.3,95.1,75.6
"92","1969-08",30,1179,2.37,85.4,95.2,75.6
"93","1969-09",14,911,4.15,81.1,90.8,71.3
"94","1969-10",12,854,4.41,73.9,83.2,64.6
"95","1969-11",21,1025,1.5,60.8,72.7,49
"96","1969-12",9,973,4.75,56.9,67.7,46.2
"97","1970-01",40,1341,2.5,48.6,57.9,39.4
"98","1970-02",55,1100,3.02,56.6,67.7,45.6
"99","1970-03",29,923,5.23,59.1,69,49.2
"100","1970-04",24,884,2.8,72.2,80.9,63.4
"101","1970-05",27,1168,14.85,73.3,81.7,65
"102","1970-06",19,866,1.54,80.5,89.6,71.5
"103","1970-07",15,894,3.51,83.5,92.7,74.4
"104","1970-08",22,1166,2.39,84.1,93.5,74.8
"105","1970-09",18,900,9.86,80.7,88.4,73
"106","1970-10",18,1173,8.37,69.3,79.7,58.9
"107","1970-11",14,850,1.78,59.1,71.1,47.2
"108","1970-12",20,977,0.49,62.3,72.7,52
"109","1971-01",31,1226,0.2,58.5,69,48
"110","1971-02",32,1002,1.54,57.8,69.5,46
"111","1971-03",26,989,1.36,62.5,75.1,50
"112","1971-04",20,996,1.8,68.1,78.2,58
"113","1971-05",17,1232,2.12,74.8,83.5,66.1
"114","1971-06",16,903,1.83,81.1,90.9,71.3
"115","1971-07",22,1219,3.39,84,94.4,73.6
"116","1971-08",27,900,7.21,81.4,89.6,73.2
"117","1971-09",13,846,7.36,79.5,86.8,72.2
"118","1971-10",21,1222,2.1,74.2,82.9,65.4
"119","1971-11",15,892,2.29,63,73.2,52.8
"120","1971-12",34,992,5.72,61.9,69.9,53.9
"121","1972-01",58,1372,3.83,58.9,68.9,49
"122","1972-02",49,1162,2.02,57.9,68.5,47.3
"123","1972-03",37,998,0.93,66,76.4,55.5
"124","1972-04",23,1251,6.98,73.2,83.4,62.9
"125","1972-05",18,943,7.62,75.5,84.3,66.8
"126","1972-06",17,900,5.92,82,90.9,73.1
"127","1972-07",21,1183,5.56,82.2,90.2,74.1
"128","1972-08",15,986,2.08,83,92.1,73.8
"129","1972-09",30,1243,7.15,82.3,90.5,74.1
"130","1972-10",18,889,1.69,72.1,81.4,62.7
"131","1972-11",20,887,8.39,56.6,64.8,48.2
