Year,WEEK,Week Ending Date,REGION,State,City,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
1962,1,01/06/1962,4,MN,Duluth,1,33,1,1,0,7,24
1962,2,01/13/1962,4,MN,Duluth,0,40,3,0,0,8,29
1962,3,01/20/1962,4,MN,Duluth,0,31,2,1,1,9,18
1962,4,01/27/1962,4,MN,Duluth,1,29,1,0,2,8,18
1962,5,02/03/1962,4,MN,Duluth,1,26,2,0,4,2,18
1962,6,02/10/1962,4,MN,Duluth,2,32,1,0,2,5,24
1962,7,02/17/1962,4,MN,Duluth,1,25,0,0,0,4,21
1962,8,02/24/1962,4,MN,Duluth,3,29,3,0,0,5,21
1962,9,03/03/1962,4,MN,Duluth,2,48,2,0,5,9,32
1962,10,03/10/1962,4,MN,Duluth,0,18,1,0,0,7,10
1962,11,03/17/1962,4,MN,Duluth,0,22,3,1,0,2,16
1962,12,03/24/1962,4,MN,Duluth,1,22,1,0,1,6,14
1962,13,03/31/1962,4,MN,Duluth,0,21,1,0,1,6,13
1962,14,04/07/1962,4,MN,Duluth,1,24,4,1,1,6,12
1962,15,04/14/1962,4,MN,Duluth,0,17,0,1,2,4,10
1962,16,04/21/1962,4,MN,Duluth,0,18,1,0,0,7,10
1962,17,04/28/1962,4,MN,Duluth,0,25,2,1,1,9,12
1962,18,05/05/1962,4,MN,Duluth,0,25,1,0,2,7,15
1962,19,05/12/1962,4,MN,Duluth,0,23,1,1,2,4,15
1962,20,05/19/1962,4,MN,Duluth,1,33,1,0,0,9,23
1962,21,05/26/1962,4,MN,Duluth,0,17,1,0,1,3,12
1962,22,06/02/1962,4,MN,Duluth,0,11,0,0,0,5,6
1962,23,06/09/1962,4,MN,Duluth,0,24,2,3,1,3,15
1962,24,06/16/1962,4,MN,Duluth,0,18,4,0,1,5,8
1962,25,06/23/1962,4,MN,Duluth,1,28,1,1,3,8,15
1962,26,06/30/1962,4,MN,Duluth,2,45,4,1,1,11,28
1962,27,07/07/1962,4,MN,Duluth,0,15,1,3,0,4,7
1962,28,07/14/1962,4,MN,Duluth,0,23,2,0,1,6,14
