,MONTH,PRCP,TMAX,TMIN,TAVG,Pneumonia_and_Flu_Deaths,YEAR,month_only
1,1962-01,2.91,39.25595238,22.56547619,30.91071429,88,1962,1
2,1962-02,2.24,35.71428571,21.10714286,28.41071429,63,1962,2
3,1962-03,5.22,49.28571429,31.05714286,40.17142857,110,1962,3
4,1962-04,3.55,61.53571429,40.35714286,50.94642857,74,1962,4
5,1962-05,1.97,74.64285714,52.21428571,63.42857143,55,1962,5
6,1962-06,7.42,80.74285714,61.65714286,71.2,61,1962,6
7,1962-07,1.73,82.75,61.57142857,72.16071429,56,1962,7
8,1962-08,4.98,81.21428571,62.10714286,71.66071429,43,1962,8
9,1962-09,4.94,74.45714286,55.31428571,64.88571429,55,1962,9
10,1962-10,0.82,68.35714286,46.53571429,57.44642857,48,1962,10
11,1962-11,4.73,52.14285714,33.10714286,42.625,46,1962,11
12,1962-12,2.11,41.8,26.31428571,34.05714286,57,1962,12
13,1963-01,1.87,36.46428571,19.85714286,28.16071429,69,1963,1
14,1963-02,2.41,34.25,16.67857143,25.46428571,105,1963,2
15,1963-03,4.16,48.88571429,30.6,39.74285714,225,1963,3
16,1963-04,0.38,64.17857143,40.28571429,52.23214286,57,1963,4
17,1963-05,1.38,71.64285714,46.53571429,59.08928571,46,1963,5
18,1963-06,3.31,80.54285714,57.05714286,68.8,61,1963,6
19,1963-07,2.92,87.5,63.57142857,75.53571429,66,1963,7
20,1963-08,3.56,82.71428571,61.54285714,72.12857143,83,1963,8
21,1963-09,4.57,73.07142857,53,63.03571429,52,1963,9
22,1963-10,1.96,71.67857143,44.32142857,58,49,1963,10
23,1963-11,6.67,57.71428571,39.77142857,48.74285714,70,1963,11
24,1963-12,1.76,35.82142857,21.96428571,28.89285714,53,1963,12
25,1964-01,3.92,40.82142857,22.03571429,31.42857143,73,1964,1
26,1964-02,2.83,40,23.91428571,31.95714286,75,1964,2
27,1964-03,1.94,54,32.64285714,43.32142857,57,1964,3
28,1964-04,3.67,58.17857143,40.53571429,49.35714286,74,1964,4
29,1964-05,2.07,73.74285714,52.08571429,62.91428571,59,1964,5
30,1964-06,0.21,83.21428571,60,71.60714286,46,1964,6
31,1964-07,3.79,86.64285714,66.75,76.69642857,45,1964,7
32,1964-08,0.33,82.97142857,61.85714286,72.41428571,53,1964,8
