,MONTH,PRCP,TMAX,TMIN,TAVG,Pneumonia_and_Flu_Deaths,YEAR,month_only
349,1991-01,4.06,43.14285714,27.14285714,35.14285714,104,1991,1
350,1991-02,0.88,50.10714286,30.67857143,40.39285714,103,1991,2
351,1991-03,4.14,53.51428571,36.6,45.05714286,155,1991,3
352,1991-04,2.79,64.39285714,44.42857143,54.41071429,125,1991,4
353,1991-05,1.73,78.71428571,55.82142857,67.26785714,112,1991,5
354,1991-06,2.97,88,65.17142857,76.58571429,114,1991,6
355,1991-07,5.22,88.35714286,71.17857143,79.76785714,100,1991,7
356,1991-08,3.93,87.34285714,69.54285714,78.44285714,71,1991,8
357,1991-09,3.58,79.5,60.67857143,70.08928571,72,1991,9
358,1991-10,1.61,69.67857143,49.32142857,59.5,66,1991,10
359,1991-11,1.55,56.45714286,40.48571429,48.47142857,63,1991,11
360,1991-12,3.3,47.92857143,31.64285714,39.78571429,57,1991,12
361,1992-01,1.38,44.28571429,28.35714286,36.32142857,86,1992,1
362,1992-02,1.37,45.05714286,28.71428571,36.88571429,150,1992,2
363,1992-03,3.01,48.92857143,32.57142857,40.75,129,1992,3
364,1992-04,1.34,62.39285714,42.64285714,52.51785714,107,1992,4
365,1992-05,1.81,71.6,50.82857143,61.21428571,126,1992,5
366,1992-06,2.87,79.96428571,61.39285714,70.67857143,63,1992,6
367,1992-07,2.88,85.53571429,68.57142857,77.05357143,57,1992,7
368,1992-08,4.17,82.31428571,65.8,74.05714286,88,1992,8
369,1992-09,2.89,78.03571429,61.71428571,69.875,73,1992,9
370,1992-10,1.38,64.45714286,46.77142857,55.61428571,97,1992,10
371,1992-11,3.26,55.39285714,41.60714286,48.5,74,1992,11
372,1992-12,4.31,45.03571429,31.53571429,38.28571429,68,1992,12
373,1993-01,2.27,45.25714286,32.02857143,38.64285714,100,1993,1
374,1993-02,3.03,40.89285714,23.89285714,32.39285714,78,1993,2
375,1993-03,6.03,44.75,29.92857143,37.33928571,92,1993,3
376,1993-04,4.35,61.78571429,44.85714286,53.32142857,133,1993,4
377,1993-05,1.2,75.94285714,54.22857143,65.08571429,181,1993,5
378,1993-06,3.02,82.85714286,62.75,72.80357143,112,1993,6
379,1993-07,2.13,90.48571429,72.08571429,81.28571429,124,1993,7
380,1993-08,5.18,87.96428571,69.35714286,78.66071429,59,1993,8
381,1993-09,4.92,79.53571429,63.67857143,71.60714286,55,1993,9
382,1993-10,4.1,68.25714286,50.54285714,59.4,69,1993,10
383,1993-11,0.88,58.78571429,39.67857143,49.23214286,63,1993,11
384,1993-12,5.3,49.71428571,34.60714286,42.16071429,85,1993,12
385,1994-01,4.34,33.34285714,19.8,26.57142857,70,1994,1
386,1994-02,3.27,41.57142857,25.92857143,33.75,94,1994,2
387,1994-03,4.52,49.21428571,32.21428571,40.71428571,120,1994,3
388,1994-04,4.78,67.91428571,47.28571429,57.6,173,1994,4
389,1994-05,3.66,72.14285714,51,61.57142857,135,1994,5
390,1994-06,1,87.46428571,66.46428571,76.96428571,125,1994,6
391,1994-07,10.86,90.6,73.14285714,81.87142857,110,1994,7
392,1994-08,4.74,83.42857143,66.92857143,75.17857143,87,1994,8
393,1994-09,1.25,78.71428571,60.21428571,69.46428571,71,1994,9
394,1994-10,1.42,67.88571429,49.4,58.64285714,102,1994,10
395,1994-11,1.98,62.14285714,43.53571429,52.83928571,100,1994,11
396,1994-12,3.17,50.77142857,34.48571429,42.62857143,102,1994,12
397,1995-01,3.1,45.25,32.46428571,38.85714286,103,1995,1
398,1995-02,1.85,39.5,22.85714286,31.17857143,65,1995,2
399,1995-03,2.21,55.07142857,35.82142857,45.44642857,64,1995,3
400,1995-04,1.38,63.71428571,43.54285714,53.62857143,121,1995,4
401,1995-05,3.12,72.53571429,54,63.26785714,132,1995,5
402,1995-06,0.66,82.64285714,64.14285714,73.39285714,90,1995,6
403,1995-07,3.03,89.17142857,71,80.08571429,106,1995,7
404,1995-08,1.15,90.32142857,70.92857143,80.625,57,1995,8
405,1995-09,3.55,80.62857143,62.11428571,71.37142857,90,1995,9
406,1995-10,5.99,72.67857143,52.25,62.46428571,71,1995,10
407,1995-11,2.65,51.5,36.60714286,44.05357143,42,1995,11
408,1995-12,2.84,39.11428571,26.6,32.85714286,116,1995,12
409,1996-01,4.39,37.35714286,22.92857143,30.14285714,93,1996,1
410,1996-02,2.09,38.03571429,24.85714286,31.44642857,61,1996,2
411,1996-03,4.3,48.28571429,30.57142857,39.42857143,89,1996,3
412,1996-04,3.37,60.89285714,42.42857143,51.66071429,90,1996,4
413,1996-05,3.94,70.71428571,51.53571429,61.125,88,1996,5
414,1996-06,3.59,79.4,61.85714286,70.62857143,114,1996,6
415,1996-07,7.53,82.25,66.60714286,74.42857143,81,1996,7
416,1996-08,6.49,82.31428571,66.17142857,74.24285714,100,1996,8
417,1996-09,4.9,77.10714286,61.32142857,69.21428571,75,1996,9
418,1996-10,4.23,65.25,47.57142857,56.41071429,75,1996,10
419,1996-11,3.15,51.45714286,35.54285714,43.5,92,1996,11
420,1996-12,8.42,46.25,33.78571429,40.01785714,74,1996,12
421,1997-01,2.27,41.10714286,26.10714286,33.60714286,120,1997,1
422,1997-02,2.93,44.89285714,29.96428571,37.42857143,70,1997,2
423,1997-03,3.38,53.22857143,33.77142857,43.5,115,1997,3
424,1997-04,2.02,60.14285714,40.75,50.44642857,80,1997,4
425,1997-05,3.54,69.45714286,49.14285714,59.3,111,1997,5
426,1997-06,1.49,81.10714286,60.42857143,70.76785714,107,1997,6
427,1997-07,2.38,87.03571429,67.42857143,77.23214286,95,1997,7
428,1997-08,4.56,83.62857143,65.22857143,74.42857143,89,1997,8
429,1997-09,1.25,76.32142857,58.42857143,67.375,67,1997,9
430,1997-10,1.44,69.25,50.64285714,59.94642857,83,1997,10
431,1997-11,4.19,52.51428571,37.71428571,45.11428571,104,1997,11
432,1997-12,2.33,46.5,32.64285714,39.57142857,71,1997,12
433,1998-01,5.03,47.02857143,33.08571429,40.05714286,125,1998,1
434,1998-02,3.25,49.17857143,34.32142857,41.75,117,1998,2
435,1998-03,3.93,50.53571429,35.17857143,42.85714286,107,1998,3
436,1998-04,2.4,66.67857143,47.17857143,56.92857143,96,1998,4
437,1998-05,4.17,73.82857143,54.62857143,64.22857143,128,1998,5
438,1998-06,4.54,79.85714286,63.07142857,71.46428571,71,1998,6
439,1998-07,1.57,85.82142857,68.10714286,76.96428571,73,1998,7
440,1998-08,1.85,87.31428571,68.54285714,77.92857143,76,1998,8
441,1998-09,1.79,81.71428571,63.32142857,72.51785714,63,1998,9
442,1998-10,1.91,68.22857143,51.11428571,59.67142857,94,1998,10
443,1998-11,1.18,56.39285714,39.28571429,47.83928571,56,1998,11
444,1998-12,0.66,52.71428571,36.78571429,44.75,70,1998,12
445,1999-01,5.05,42.6,26.82857143,34.71428571,120,1999,1
446,1999-02,2.43,45.85714286,28.57142857,37.21428571,97,1999,2
447,1999-03,4.51,49.89285714,32.21428571,41.05357143,123,1999,3
448,1999-04,3.34,62.64285714,43.03571429,52.83928571,86,1999,4
449,1999-05,3.7,71.74285714,52,61.87142857,112,1999,5
450,1999-06,1.12,81.82142857,62.39285714,72.10714286,85,1999,6
451,1999-07,1.26,90.6,71.31428571,80.95714286,61,1999,7
452,1999-08,5.32,86.82142857,69.39285714,78.10714286,59,1999,8
453,1999-09,12.23,77.96428571,62.42857143,70.19642857,80,1999,9
454,1999-10,4.39,66.71428571,48.71428571,57.71428571,70,1999,10
455,1999-11,2.31,60.85714286,43.89285714,52.375,59,1999,11
456,1999-12,2.99,48.57142857,33.64285714,41.10714286,73,1999,12
457,2000-01,2.48,40.05714286,25.45714286,32.75714286,70,2000,1
458,2000-02,2.58,43.32142857,27.46428571,35.39285714,119,2000,2
459,2000-03,5.63,58.03571429,37.21428571,47.625,126,2000,3
460,2000-04,3.92,61.31428571,42.88571429,52.1,124,2000,4
461,2000-05,2.99,74.5,54.5,64.5,73,2000,5
462,2000-06,2.85,79.5,60.64285714,70.07142857,70,2000,6
463,2000-07,6.15,81.77142857,66.2,73.98571429,79,2000,7
