"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-01","0.50","72","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-02","0.00","75","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-03","0.47","73","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-04","0.00","62","41"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-05","0.00","56","42"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-06","0.02","67","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-07","0.01","68","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-08","0.39","74","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-09","0.31","73","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-10","0.00","64","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-11","0.00","72","44"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-12","0.00","74","46"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-13","0.00","75","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-14","0.00","73","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-15","0.31","80","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-16","0.04","68","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-17","0.00","53","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-18","0.22","53","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-19","0.00","65","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-20","0.00","65","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-21","0.54","67","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-22","0.00","69","45"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-23","0.00","69","43"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-24","0.00","76","46"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-25","0.00","74","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-26","0.00","70","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-27","0.00","73","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-02-28","1.14","71","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-03-01","0.93","54","46"
