"","MONTH","PRCP","TMAX","TMIN","TAVG","Pneumonia_and_Flu_Deaths","All_Deaths","YEAR","month_only"
"349","1991-01",9.48,57.2857142857143,42.8571428571428,50.0714285714286,142,1407,1991,1
"350","1991-02",5.36,67.0357142857143,50.1785714285714,58.6071428571428,143,1251,1991,2
"351","1991-03",2.38,72.3714285714286,55.6857142857143,64.0285714285714,182,1908,1991,3
"352","1991-04",10.25,79.25,65.5714285714286,72.4107142857143,105,1256,1991,4
"353","1991-05",7.65,84.5357142857143,70.2142857142857,77.375,109,1335,1991,5
"354","1991-06",11.76,89.5714285714286,74.3428571428571,81.9571428571429,132,1726,1991,6
"355","1991-07",1.42,92.1785714285714,76.6071428571428,84.3928571428572,107,1375,1991,7
"356","1991-08",2.84,92.4857142857143,76.5428571428571,84.5142857142857,91,1180,1991,8
"357","1991-09",8.53,86.9642857142857,71.6428571428572,79.3035714285714,109,1349,1991,9
"358","1991-10",0.01,84.5,64.0357142857143,74.2678571428571,144,1339,1991,10
"359","1991-11",6.65,70.2285714285714,52.4857142857143,61.3571428571429,140,1686,1991,11
"360","1991-12",7.03,66.0357142857143,53.5,59.7678571428571,136,1521,1991,12
"361","1992-01",5.9,61.2142857142857,45.4642857142857,53.3392857142857,149,1555,1992,1
"362","1992-02",8.9,67.8285714285714,52.5714285714286,60.2,205,1895,1992,2
"363","1992-03",4.15,74.1785714285714,56.7142857142857,65.4464285714286,172,1533,1992,3
"364","1992-04",4.51,77.6071428571429,60.5714285714286,69.0892857142857,96,1273,1992,4
"365","1992-05",7.83,81.9142857142857,65.6285714285714,73.7714285714286,175,1844,1992,5
"366","1992-06",4.85,90.3928571428572,73.6071428571428,82,112,1426,1992,6
"367","1992-07",4.64,91.6785714285714,76,83.8392857142857,133,1409,1992,7
"368","1992-08",3.92,90.1142857142857,73.7428571428571,81.9285714285714,139,1660,1992,8
"369","1992-09",4.62,88.75,73.2142857142857,80.9821428571429,104,1297,1992,9
"370","1992-10",1.47,82.9428571428572,62.5428571428571,72.7428571428571,171,1651,1992,10
"371","1992-11",9.74,66.7857142857143,50,58.3928571428572,101,1292,1992,11
"372","1992-12",3.92,64.7142857142857,48.25,56.4821428571429,142,1236,1992,12
"373","1993-01",6.67,64.0857142857143,48.3428571428572,56.2142857142857,200,1977,1993,1
"374","1993-02",2.23,66.3928571428571,49.3571428571429,57.875,152,1516,1993,2
"375","1993-03",5.95,69.6428571428571,52.75,61.1964285714286,147,1448,1993,3
"376","1993-04",3.62,75,57.4642857142857,66.2321428571428,117,1375,1993,4
"377","1993-05",6.11,81.4571428571428,65.8571428571429,73.6571428571428,172,1870,1993,5
"378","1993-06",9.03,87.7142857142857,74.5357142857143,81.125,129,1481,1993,6
"379","1993-07",3.75,92.1714285714286,76.4,84.2857142857143,152,1743,1993,7
"380","1993-08",1.11,94.25,76.6071428571428,85.4285714285714,111,1276,1993,8
"381","1993-09",1.5,90.8214285714286,73.4642857142857,82.1428571428571,123,1306,1993,9
"382","1993-10",11.67,81.2285714285714,63.0285714285714,72.1285714285714,138,1781,1993,10
"383","1993-11",7.13,66.5,49.6071428571429,58.0535714285714,112,1265,1993,11
"384","1993-12",2.31,65.1428571428572,48.3928571428572,56.7678571428571,153,1466,1993,12
"385","1994-01",2.62,62.8857142857143,45.5428571428571,54.2142857142857,213,2130,1994,1
"386","1994-02",1.08,64.2857142857143,47.0357142857143,55.6607142857143,162,1463,1994,2
"387","1994-03",1.69,72.8571428571428,55,63.9285714285714,161,1487,1994,3
"388","1994-04",4.26,76.8571428571429,59.3714285714286,68.1142857142857,178,1883,1994,4
"389","1994-05",7.19,83.3214285714286,66.8571428571428,75.0892857142857,110,1548,1994,5
"390","1994-06",7.34,88.6428571428572,73.3928571428572,81.0178571428571,97,1350,1994,6
"391","1994-07",0.36,93.2,75.3714285714286,84.2857142857143,131,1816,1994,7
"392","1994-08",3.82,90.3214285714286,74.0714285714286,82.1964285714286,130,1399,1994,8
"393","1994-09",1.85,88.1071428571428,71.4285714285714,79.7678571428572,101,1344,1994,9
"394","1994-10",19.4,81.8571428571428,63.6857142857143,72.7714285714286,159,1591,1994,10
"395","1994-11",0.32,76.0357142857143,58.0714285714286,67.0535714285714,107,1206,1994,11
"396","1994-12",8.73,66.3714285714286,50.9142857142857,58.6428571428571,170,1889,1994,12
"397","1995-01",6.13,63.9285714285714,46.3214285714286,55.125,146,1466,1995,1
"398","1995-02",1.22,67.1428571428572,47.1071428571429,57.125,185,1559,1995,2
"399","1995-03",5.02,71.1071428571428,54.0357142857143,62.5714285714286,146,1343,1995,3
"400","1995-04",5.37,76.2,57.1714285714286,66.6857142857143,150,1787,1995,4
"401","1995-05",2.83,85.3214285714286,69.2142857142857,77.2678571428572,118.5,1451,1995,5
"402","1995-06",6.63,88.0357142857143,70.8928571428572,79.4642857142857,98,1309,1995,6
"403","1995-07",5.5,92.4,74.9714285714286,83.6857142857143,111,1702,1995,7
"404","1995-08",2.32,91.7857142857143,76.1428571428572,83.9642857142857,83,1389,1995,8
"405","1995-09",4.72,91.4571428571429,73,82.2285714285714,116,1489,1995,9
"406","1995-10",2.07,81.8214285714286,61.5357142857143,71.6785714285714,113,1357,1995,10
"407","1995-11",5.07,72.1428571428571,54.2142857142857,63.1785714285714,72,1071,1995,11
"408","1995-12",6.61,65.6571428571428,48.4571428571429,57.0571428571429,160,1864,1995,12
"409","1996-01",1.74,63.1785714285715,41.5357142857143,52.3571428571429,136,1481,1996,1
"410","1996-02",0.14,67.8214285714286,46.9285714285714,57.375,149,1554,1996,2
"411","1996-03",1.31,68.5714285714286,48.4,58.4857142857143,154,1901,1996,3
"412","1996-04",1.19,79.2142857142858,58.1071428571428,68.6607142857143,148,1618,1996,4
"413","1996-05",0.7,86.1785714285714,68.6071428571429,77.3928571428572,133,1463,1996,5
"414","1996-06",9.35,90.5714285714286,73.4857142857143,82.0285714285714,134,1701,1996,6
"415","1996-07",0.15,93.6785714285714,76.0714285714286,84.875,90,1382,1996,7
"416","1996-08",8.65,90.8857142857143,74.6857142857143,82.7857142857143,151,1749,1996,8
"417","1996-09",6.99,87.8571428571428,72.1071428571428,79.9821428571428,114,1262,1996,9
"418","1996-10",2.25,79.9285714285714,61.8928571428571,70.9107142857143,128,1493,1996,10
"419","1996-11",1.53,74.8285714285714,56.5142857142857,65.6714285714286,147,1656,1996,11
"420","1996-12",1.96,67.3571428571428,48.3928571428572,57.875,127,1418,1996,12
"421","1997-01",3.27,60.75,47.5,54.125,157,1561,1997,1
"422","1997-02",9.94,64.5357142857143,47.4285714285714,55.9821428571428,128,1702,1997,2
"423","1997-03",6.37,72.2857142857143,56.4,64.3428571428571,179,1863,1997,3
"424","1997-04",7.99,73,56.9285714285714,64.9642857142857,98,1423,1997,4
"425","1997-05",10.23,82.0857142857143,65.9428571428571,74.0142857142857,118,1596,1997,5
"426","1997-06",6.08,89.4285714285714,72.9285714285714,81.1785714285714,121,1483,1997,6
"427","1997-07",1.28,93.9642857142857,76.3928571428571,85.1785714285714,91,1432,1997,7
"428","1997-08",3.42,93.2285714285714,76.3142857142857,84.7714285714286,128,1787,1997,8
"429","1997-09",9.26,89.8928571428572,72.8571428571428,81.375,91,1266,1997,9
"430","1997-10",9.88,81.5714285714286,65.5,73.5357142857143,95,1514,1997,10
"431","1997-11",2.67,68.0857142857143,51.8571428571429,59.9714285714286,143,1732,1997,11
"432","1997-12",7.25,64,45.0357142857143,54.5178571428572,120,1450,1997,12
"433","1998-01",7.47,68.6571428571429,49.6571428571429,59.1571428571429,224,2143,1998,1
"434","1998-02",4.62,66.3214285714285,49,57.6607142857143,147,1740,1998,2
"435","1998-03",2.69,70.2142857142857,52.0357142857143,61.125,130,1771,1998,3
"436","1998-04",0.65,78.8928571428571,59.6071428571428,69.25,123,1447,1998,4
"437","1998-05",0.21,89.4571428571429,69.5428571428571,79.5,149,1776,1998,5
"438","1998-06",0.67,95.6071428571429,77.5357142857143,86.5714285714286,100,1439,1998,6
"439","1998-07",4.03,95.8214285714286,76.4642857142857,86.1428571428572,96,1374,1998,7
"440","1998-08",3.96,94.8571428571429,76.8285714285714,85.8428571428571,125,1887,1998,8
"441","1998-09",11.67,89.5,75.6785714285714,82.5892857142857,100,1406,1998,9
"442","1998-10",9.28,83.5619047619048,67.1095238095238,75.3357142857143,132,1729,1998,10
"443","1998-11",7.04,72.4642857142857,57.25,64.8571428571429,86,1284,1998,11
"444","1998-12",4.03,64.3809523809524,49.1011904761905,56.7410714285714,124,1338,1998,12
"445","1999-01",4.38,68.4285714285714,47.9714285714286,58.2,148,1944,1999,1
"446","1999-02",1.11,72.4285714285714,54.0714285714286,63.25,134,1707,1999,2
"447","1999-03",1.81,73.6071428571429,55.1071428571428,64.3571428571428,139,1599,1999,3
"448","1999-04",2.05,79.3928571428572,63.3214285714286,71.3571428571428,137,1730,1999,4
"449","1999-05",6,85.7428571428572,67.8571428571429,76.8,158,1866,1999,5
"450","1999-06",7.56,87.8214285714286,73.9642857142857,80.8928571428572,103,1445,1999,6
"451","1999-07",3.76,90.8857142857143,75.6285714285714,83.2571428571429,133,1741,1999,7
"452","1999-08",0.61,96.1428571428571,77.0357142857143,86.5892857142857,106,1444,1999,8
"453","1999-09",0.23,91.8571428571428,70.3928571428572,81.125,142,1439,1999,9
"454","1999-10",2.03,82.6571428571429,61.6,72.1285714285715,158,1774,1999,10
"455","1999-11",1.48,76.5357142857143,52.7142857142857,64.625,111,1355,1999,11
"456","1999-12",3.9,66.9285714285714,45.8571428571428,56.3928571428571,152,1621,1999,12
"457","2000-01",2.15,69.2,49.2,59.2,155,1923,2000,1
"458","2000-02",1.44,70.7142857142857,53.1785714285714,61.9464285714286,160,1588,2000,2
"459","2000-03",1.73,75.25,57.4285714285714,66.3392857142857,161,1735,2000,3
"460","2000-04",4.61,79.9142857142857,60.7142857142857,70.3142857142857,153.5,1883,2000,4
"461","2000-05",6.51,85.5357142857143,70.7142857142857,78.125,97,1413,2000,5
"462","2000-06",1.98,89.7142857142857,74.1785714285714,81.9464285714286,101,1296,2000,6
"463","2000-07",1.23,95.6,74.6571428571428,85.1285714285714,148,1879,2000,7
"464","2000-08",2.85,94.4285714285714,74.9285714285714,84.6785714285714,104,1619,2000,8
"465","2000-09",5.09,91.6571428571428,71.2,81.4285714285714,113,1795,2000,9
"466","2000-10",5.66,79.7857142857143,64.0714285714286,71.9285714285714,123,1481,2000,10
"467","2000-11",9.68,69.0357142857143,53.8214285714286,61.4285714285714,91,1406,2000,11
"468","2000-12",2.65,59.6857142857143,42.6857142857143,51.1857142857143,152,2079,2000,12
"469","2001-01",4.2,57.1071428571428,40.75,48.9285714285714,129,1552,2001,1
"470","2001-02",0.81,67.6071428571428,51.3571428571428,59.4821428571429,132,1596,2001,2
"471","2001-03",6.73,68.6857142857143,51,59.8428571428572,146,1890,2001,3
"472","2001-04",0.46,80.4642857142857,65.2142857142857,72.8392857142857,118,1437,2001,4
"473","2001-05",1.44,85.4285714285714,66.3214285714286,75.875,67.5,1381,2001,5
"474","2001-06",25.08,89.0857142857143,73,81.0428571428571,97,1735,2001,6
"475","2001-07",2.77,92.0357142857143,75.6071428571428,83.8214285714286,83,1511,2001,7
"476","2001-08",1.53,93.4642857142857,75.8571428571428,84.6607142857143,102,1466,2001,8
"477","2001-09",19.55,86.0571428571429,71.1142857142857,78.5857142857143,101,1835,2001,9
"478","2001-10",6.16,79.8571428571428,61,70.4285714285714,91,1414,2001,10
"479","2001-11",0.85,76.7857142857143,57.3928571428571,67.0892857142857,66,1515,2001,11
"480","2001-12",12.23,67.2571428571428,49.1714285714286,58.2142857142857,115,1842,2001,12
"481","2002-01",1.49,63.5714285714286,44.4285714285714,54,105.5,1598.5,2002,1
"482","2002-02",1.91,66.5,46.5714285714286,56.5357142857143,142.5,1993,2002,2
"483","2002-03",3.5,70.9142857142857,51.3714285714286,61.1428571428571,155,2041,2002,3
"484","2002-04",5.39,79.75,64.7857142857143,72.2678571428572,117,1470,2002,4
"485","2002-05",3.44,85.1785714285714,69.0714285714286,77.125,108,1278,2002,5
"486","2002-06",5.02,88.1142857142857,72.5142857142857,80.3142857142857,144,1855,2002,6
"487","2002-07",8.08,90.7857142857143,75.4642857142858,83.125,99,1356,2002,7
"488","2002-08",8.86,91.2857142857143,75.4857142857143,83.3857142857143,113,1655,2002,8
"489","2002-09",3.53,87.9642857142857,72.4642857142857,80.2142857142857,77,1215,2002,9
"490","2002-10",7.98,80.2142857142857,65.8571428571428,73.0357142857143,89,1285,2002,10
"491","2002-11",4.9,70.3714285714286,51.9714285714286,61.1714285714286,118,1474,2002,11
"492","2002-12",3.62,64.3214285714286,46.0714285714286,55.1964285714286,67,1104,2002,12
"493","2003-01",1.99,60.8928571428571,42.0714285714286,51.4821428571428,122,1937,2003,1
"494","2003-02",3.54,63.7142857142857,47.8214285714286,55.7678571428571,115,1618,2003,2
"495","2003-03",1.56,68.6571428571428,52.0285714285714,60.3428571428571,174,2245,2003,3
"496","2003-04",1.61,77.8571428571428,59.8214285714286,68.8392857142857,107,1534,2003,4
"497","2003-05",0.03,88.8,71.2285714285714,80.0142857142857,109,1803,2003,5
"498","2003-06",7.07,90.6071428571428,73.6071428571428,82.1071428571428,106,1641,2003,6
"499","2003-07",5.71,89.75,75.25,82.5,95,1459,2003,7
"500","2003-08",3.97,92.9714285714286,75.6,84.2857142857143,142,1954,2003,8
"501","2003-09",10.43,86.3571428571428,70.8928571428572,78.625,79,1480,2003,9
"502","2003-10",4.21,82.5714285714286,63.7142857142857,73.1428571428572,96.5,1377.5,2003,10
"503","2003-11",3.19,75.8285714285714,56.2571428571428,66.0428571428572,144,1896,2003,11
"504","2003-12",2.16,65.75,44.1785714285714,54.9642857142857,121,1612,2003,12
"505","2004-01",4.78,63.3142857142857,47.6,55.4571428571429,143,2020,2004,1
"506","2004-02",5.45,61.6071428571429,46,53.8035714285714,116,1583,2004,2
"507","2004-03",1.29,74.3571428571429,59.4285714285714,66.8928571428572,81,1501,2004,3
"508","2004-04",3.25,77.9285714285714,59.25,68.5892857142857,97,1507,2004,4
"509","2004-05",6.85,83.2571428571429,67.1714285714286,75.2142857142857,100,1938,2004,5
"510","2004-06",9.19,88.4285714285714,74.6071428571429,81.5178571428572,70,1419,2004,6
"511","2004-07",3.7,91.3142857142857,75.5428571428571,83.4285714285714,121,1852,2004,7
"512","2004-08",2.14,92.0357142857143,74.5,83.2678571428572,81,1537,2004,8
"513","2004-09",5.21,90.1785714285714,73.8928571428572,82.0357142857143,102,1390,2004,9
"514","2004-10",2.75,86.0285714285714,69.4571428571429,77.7428571428571,121,1739,2004,10
"515","2004-11",10.38,73.4642857142857,56.3571428571428,64.9107142857143,89,1314,2004,11
"516","2004-12",2.03,66.4285714285714,46.8571428571428,56.6428571428571,69,1333,2004,12
"517","2005-01",0.8,67.8857142857143,48.9142857142857,58.4,141,1991,2005,1
"518","2005-02",4.08,65.6071428571429,52.6785714285714,59.1428571428572,129,1785,2005,2
"519","2005-03",3.72,71.4642857142857,52.5714285714286,62.0178571428572,134,1601,2005,3
"520","2005-04",1.09,78.0571428571429,58.5714285714286,68.3142857142857,124,1852,2005,4
"521","2005-05",1.57,85.5357142857143,66.4285714285714,75.9821428571428,87,1438,2005,5
"522","2005-06",0.98,92,73.8928571428572,82.9464285714286,60,1244,2005,6
"523","2005-07",12.96,92.7428571428571,75.5428571428571,84.1428571428571,107,1762,2005,7
"524","2005-08",2.24,93.4642857142857,76.8571428571429,85.1607142857142,78,1375,2005,8
"525","2005-09",1.69,93.1785714285714,75.7857142857143,84.4821428571428,82,1232,2005,9
"526","2005-10",0.72,85,64.8857142857143,74.9428571428572,136,1969,2005,10
"527","2005-11",3.61,76.9642857142857,56.6785714285714,66.8214285714286,105,1448,2005,11
"528","2005-12",2.28,66.2285714285714,45.4285714285714,55.8285714285714,120,2009,2005,12
"529","2006-01",1.92,70.5,49.7857142857143,60.1428571428572,135,1854,2006,1
"530","2006-02",1.62,67.3928571428572,47.1071428571428,57.25,96,1452,2006,2
"531","2006-03",0.13,74.7142857142857,56.2142857142857,65.4642857142857,84,1668,2006,3
"532","2006-04",3.58,81.2857142857143,63.7142857142857,72.5,77,1865,2006,4
"533","2006-05",1.29,86.6428571428572,66.8928571428572,76.7678571428572,62,1472,2006,5
"534","2006-06",15.71,88.8571428571429,72.25,80.5535714285714,28,1387,2006,6
"535","2006-07",7.76,89.8,74.7714285714286,82.2857142857143,58,1782,2006,7
"536","2006-08",2.95,92.2857142857143,76.8214285714286,84.5535714285714,91,1432,2006,8
"537","2006-09",3.1,89.2285714285714,71.3428571428572,80.2857142857143,64,1782,2006,9
"538","2006-10",19.26,83.1071428571428,65.3571428571428,74.2321428571428,46,1187,2006,10
"539","2006-11",0.37,74.5714285714286,52.7857142857143,63.6785714285714,45,1204,2006,11
"540","2006-12",4.45,67.1714285714286,49.8,58.4857142857143,66,1597,2006,12
"541","2007-01",6.53,60.25,45.5714285714286,52.9107142857143,67,1596,2007,1
"542","2007-02",1.53,62.5,44.9285714285714,53.7142857142857,63.5,1307,2007,2
"543","2007-03",8.8,75.5142857142857,57.8,66.6571428571429,105,2141,2007,3
"544","2007-04",4.68,75.7857142857143,58.5,67.1428571428571,63,1456,2007,4
