STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-01,1.74,49.3,60.6,38
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-02,0.72,63.9,74.6,53.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-03,0.94,58.9,70.4,47.4
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-04,4.81,68.1,77.9,58.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-05,1.15,75.6,86.1,65.1
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-06,7.4,79.8,88.2,71.4
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-07,0.07,84.1,94.4,73.8
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-08,2.77,85.9,96.8,75
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-09,3.97,81.2,90.4,72
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-10,3.13,74.6,84.9,64.3
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-11,5.68,60.1,70.3,49.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1962-12,4.78,54.7,63.7,45.8
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-01,3.09,48.3,58.1,38.6
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-02,2.59,52.6,64.2,40.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-03,0.56,64.8,75.5,54.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-04,0.92,74.5,84.1,64.8
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-05,0.62,77.4,88.3,66.6
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-06,7.79,82,92.5,71.5
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-07,2.08,84.3,93.5,75
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-08,1.85,84.3,94.8,73.8
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-09,1.94,80.4,89.7,71.1
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-10,0.3,74.9,86.8,63
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-11,5.72,64,74.1,54
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1963-12,4.83,47.1,57.2,36.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-01,2.89,51.5,61.2,41.9
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-02,4.97,49.4,58.6,40.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-03,2.24,60.4,70.6,50.2
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-04,1.63,70.2,78.2,62.1
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-05,2.25,75.8,84.4,67.1
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-06,1.89,80.3,89.4,71.3
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-07,1.68,83.7,93.8,73.6
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-08,2.61,84.3,93.6,75.1
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-09,6.77,79.3,87.5,71.1
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-10,2.35,67.7,79.6,55.8
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-11,4.28,65,75,55
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1964-12,5.58,55.9,65.5,46.3
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1965-01,1.87,56,67.5,44.5
USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",1965-02,3.28,55,64.8,45.2
