"","X","MONTH","PRCP","TMAX","TMIN","TAVG","Pneumonia_and_Flu_Deaths","All_Deaths","YEAR","month_only"
"337",337,"1990-01",4.02,48.1071428571429,30.9285714285714,39.5178571428571,111,1493,1990,1
"338",338,"1990-02",2.07,54.0357142857143,33.5714285714286,43.8035714285714,89,1210,1990,2
"339",339,"1990-03",2.64,54.2,33.6,43.9,147,1864,1990,3
"340",340,"1990-04",2.75,63.6071428571428,42.0357142857143,52.8214285714286,112,1476,1990,4
"341",341,"1990-05",4.24,70.3571428571429,51.6785714285714,61.0178571428572,122,1685,1990,5
"342",342,"1990-06",5.64,80.8,60.6285714285714,70.7142857142857,121,1699,1990,6
"343",343,"1990-07",2.19,86.75,69.25,78,74,1278,1990,7
"344",344,"1990-08",3.84,83.75,67.3571428571428,75.5535714285714,124,2194,1990,8
"345",345,"1990-09",2.37,79.3428571428571,60,69.6714285714286,105,2127,1990,9
"346",346,"1990-10",1.68,73.9285714285714,54.1428571428572,64.0357142857143,115,1721,1990,10
"347",347,"1990-11",1.14,59.2142857142857,39.25,49.2321428571429,92,1297,1990,11
"348",348,"1990-12",3.72,51.8857142857143,34.8857142857143,43.3857142857143,104,1896,1990,12
"349",349,"1991-01",4.06,43.1428571428572,27.1428571428571,35.1428571428572,104,1594,1991,1
"350",350,"1991-02",0.88,50.1071428571429,30.6785714285714,40.3928571428572,103,1626,1991,2
"351",351,"1991-03",4.14,53.5142857142857,36.6,45.0571428571429,155,2346,1991,3
"352",352,"1991-04",2.79,64.3928571428571,44.4285714285714,54.4107142857143,125,2013,1991,4
"353",353,"1991-05",1.73,78.7142857142857,55.8214285714286,67.2678571428572,112,1621,1991,5
"354",354,"1991-06",2.97,88,65.1714285714286,76.5857142857143,114,1630,1991,6
"355",355,"1991-07",5.22,88.3571428571428,71.1785714285714,79.7678571428571,100,1592,1991,7
"356",356,"1991-08",3.93,87.3428571428571,69.5428571428571,78.4428571428572,71,1881,1991,8
"357",357,"1991-09",3.58,79.5,60.6785714285714,70.0892857142857,72,1591,1991,9
"358",358,"1991-10",1.61,69.6785714285714,49.3214285714286,59.5,66,1518,1991,10
"359",359,"1991-11",1.55,56.4571428571429,40.4857142857143,48.4714285714286,63,1575,1991,11
"360",360,"1991-12",3.3,47.9285714285714,31.6428571428571,39.7857142857143,57,1097,1991,12
"361",361,"1992-01",1.38,44.2857142857143,28.3571428571429,36.3214285714286,86,1400,1992,1
"362",362,"1992-02",1.37,45.0571428571429,28.7142857142857,36.8857142857143,150,2041,1992,2
"363",363,"1992-03",3.01,48.9285714285714,32.5714285714286,40.75,129,1873,1992,3
"364",364,"1992-04",1.34,62.3928571428572,42.6428571428571,52.5178571428572,107,1659,1992,4
"365",365,"1992-05",1.81,71.6,50.8285714285714,61.2142857142857,126,2065,1992,5
"366",366,"1992-06",2.87,79.9642857142857,61.3928571428571,70.6785714285714,63,1301,1992,6
"367",367,"1992-07",2.88,85.5357142857143,68.5714285714286,77.0535714285714,57,1382,1992,7
"368",368,"1992-08",4.17,82.3142857142857,65.8,74.0571428571428,88,1743,1992,8
"369",369,"1992-09",2.89,78.0357142857143,61.7142857142857,69.875,73,1488,1992,9
"370",370,"1992-10",1.38,64.4571428571429,46.7714285714286,55.6142857142857,97,1887,1992,10
"371",371,"1992-11",3.26,55.3928571428572,41.6071428571428,48.5,74,1354,1992,11
"372",372,"1992-12",4.31,45.0357142857143,31.5357142857143,38.2857142857143,68,1200,1992,12
"373",373,"1993-01",2.27,45.2571428571429,32.0285714285714,38.6428571428571,100,1783,1993,1
"374",374,"1993-02",3.03,40.8928571428572,23.8928571428571,32.3928571428572,78,1435,1993,2
"375",375,"1993-03",6.03,44.75,29.9285714285714,37.3392857142857,92,1416,1993,3
"376",376,"1993-04",4.35,61.7857142857143,44.8571428571428,53.3214285714286,133,1609,1993,4
"377",377,"1993-05",1.2,75.9428571428571,54.2285714285714,65.0857142857143,181,2101,1993,5
"378",378,"1993-06",3.02,82.8571428571428,62.75,72.8035714285714,112,1797,1993,6
"379",379,"1993-07",2.13,90.4857142857143,72.0857142857143,81.2857142857143,124,1979,1993,7
"380",380,"1993-08",5.18,87.9642857142857,69.3571428571428,78.6607142857143,59,1067,1993,8
"381",381,"1993-09",4.92,79.5357142857143,63.6785714285714,71.6071428571428,55,1020,1993,9
"382",382,"1993-10",4.1,68.2571428571428,50.5428571428571,59.4,69,1199,1993,10
"383",383,"1993-11",0.88,58.7857142857143,39.6785714285714,49.2321428571429,63,1109,1993,11
"384",384,"1993-12",5.3,49.7142857142857,34.6071428571429,42.1607142857143,85,1214,1993,12
"385",385,"1994-01",4.34,33.3428571428572,19.8,26.5714285714286,70,1178,1994,1
"386",386,"1994-02",3.27,41.5714285714286,25.9285714285714,33.75,94,1310,1994,2
"387",387,"1994-03",4.52,49.2142857142857,32.2142857142857,40.7142857142857,120,2143,1994,3
"388",388,"1994-04",4.78,67.9142857142857,47.2857142857143,57.6,173,2798,1994,4
"389",389,"1994-05",3.66,72.1428571428572,51,61.5714285714285,135,2066,1994,5
"390",390,"1994-06",1,87.4642857142857,66.4642857142857,76.9642857142857,125,2020,1994,6
"391",391,"1994-07",10.86,90.6,73.1428571428571,81.8714285714286,110,1596,1994,7
"392",392,"1994-08",4.74,83.4285714285714,66.9285714285714,75.1785714285714,87,1401,1994,8
"393",393,"1994-09",1.25,78.7142857142857,60.2142857142857,69.4642857142857,71,1333,1994,9
"394",394,"1994-10",1.42,67.8857142857143,49.4,58.6428571428571,102,1712,1994,10
"395",395,"1994-11",1.98,62.1428571428572,43.5357142857143,52.8392857142857,100,1509,1994,11
"396",396,"1994-12",3.17,50.7714285714286,34.4857142857143,42.6285714285714,102,1582,1994,12
"397",397,"1995-01",3.1,45.25,32.4642857142857,38.8571428571429,103,1627,1995,1
"398",398,"1995-02",1.85,39.5,22.8571428571429,31.1785714285714,65,1113,1995,2
"399",399,"1995-03",2.21,55.0714285714286,35.8214285714286,45.4464285714286,64,1061,1995,3
"400",400,"1995-04",1.38,63.7142857142857,43.5428571428571,53.6285714285714,121,1508.5,1995,4
"401",401,"1995-05",3.12,72.5357142857142,54,63.2678571428572,132,1242,1995,5
"402",402,"1995-06",0.66,82.6428571428572,64.1428571428572,73.3928571428572,90,1225,1995,6
"403",403,"1995-07",3.03,89.1714285714286,71,80.0857142857143,106,1736,1995,7
"404",404,"1995-08",1.15,90.3214285714286,70.9285714285714,80.625,57,995,1995,8
"405",405,"1995-09",3.55,80.6285714285715,62.1142857142857,71.3714285714286,90,1492,1995,9
"406",406,"1995-10",5.99,72.6785714285714,52.25,62.4642857142857,71,1299,1995,10
"407",407,"1995-11",2.65,51.5,36.6071428571429,44.0535714285714,42,1100,1995,11
"408",408,"1995-12",2.84,39.1142857142857,26.6,32.8571428571429,116,1809,1995,12
"409",409,"1996-01",4.39,37.3571428571429,22.9285714285714,30.1428571428571,93,1293,1996,1
"410",410,"1996-02",2.09,38.0357142857143,24.8571428571429,31.4464285714286,61,1299,1996,2
"411",411,"1996-03",4.3,48.2857142857143,30.5714285714286,39.4285714285714,89,1604,1996,3
"412",412,"1996-04",3.37,60.8928571428571,42.4285714285714,51.6607142857143,90,1498,1996,4
"413",413,"1996-05",3.94,70.7142857142857,51.5357142857143,61.125,88,1500,1996,5
