Year,WEEK,Week Ending Date,REGION,State,City,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
1962,1,01/06/1962,8,AZ,Phoenix,8,84,7,2,3,23,49
1962,2,01/13/1962,8,AZ,Phoenix,7,113,11,4,7,30,61
1962,3,01/20/1962,8,AZ,Phoenix,4,104,9,4,8,30,53
1962,4,01/27/1962,8,AZ,Phoenix,8,121,8,3,9,35,66
1962,5,02/03/1962,8,AZ,Phoenix,10,94,5,7,4,25,53
1962,6,02/10/1962,8,AZ,Phoenix,3,120,11,3,11,27,68
1962,7,02/17/1962,8,AZ,Phoenix,2,109,6,6,5,31,61
1962,8,02/24/1962,8,AZ,Phoenix,3,72,5,1,2,32,32
1962,9,03/03/1962,8,AZ,Phoenix,3,95,10,2,4,38,41
1962,10,03/10/1962,8,AZ,Phoenix,2,99,5,7,10,25,52
1962,11,03/17/1962,8,AZ,Phoenix,2,95,5,3,6,33,48
1962,12,03/24/1962,8,AZ,Phoenix,3,105,7,7,8,31,52
1962,13,03/31/1962,8,AZ,Phoenix,3,96,5,7,4,18,62
1962,14,04/07/1962,8,AZ,Phoenix,4,86,8,6,4,22,46
1962,15,04/14/1962,8,AZ,Phoenix,7,121,16,5,10,29,61
1962,16,04/21/1962,8,AZ,Phoenix,5,99,7,4,9,23,56
1962,17,04/28/1962,8,AZ,Phoenix,2,77,7,1,7,25,37
1962,18,05/05/1962,8,AZ,Phoenix,2,85,13,3,12,15,42
1962,19,05/12/1962,8,AZ,Phoenix,1,64,3,0,6,21,34
1962,20,05/19/1962,8,AZ,Phoenix,2,68,4,6,4,14,40
1962,21,05/26/1962,8,AZ,Phoenix,1,79,5,3,8,15,48
1962,22,06/02/1962,8,AZ,Phoenix,3,65,6,0,3,22,34
1962,23,06/09/1962,8,AZ,Phoenix,1,94,7,2,4,39,42
1962,24,06/16/1962,8,AZ,Phoenix,1,82,4,3,5,25,45
1962,25,06/23/1962,8,AZ,Phoenix,1,75,8,5,6,18,38
1962,26,06/30/1962,8,AZ,Phoenix,3,90,6,6,13,28,37
1962,27,07/07/1962,8,AZ,Phoenix,3,72,4,2,4,24,38
1962,28,07/14/1962,8,AZ,Phoenix,2,70,4,3,5,21,37
1962,29,07/21/1962,8,AZ,Phoenix,1,80,5,3,10,15,47
1962,30,07/28/1962,8,AZ,Phoenix,1,76,3,8,7,22,36
1962,31,08/04/1962,8,AZ,Phoenix,4,81,8,2,3,26,42
1962,32,08/11/1962,8,AZ,Phoenix,2,84,9,7,6,31,31
1962,33,08/18/1962,8,AZ,Phoenix,4,82,4,3,7,30,38
1962,34,08/25/1962,8,AZ,Phoenix,2,92,6,6,7,26,47
1962,35,09/01/1962,8,AZ,Phoenix,4,91,8,9,10,23,41
1962,36,09/08/1962,8,AZ,Phoenix,2,60,3,0,8,11,38
1962,37,09/15/1962,8,AZ,Phoenix,1,63,8,2,5,14,34
1962,38,09/22/1962,8,AZ,Phoenix,6,91,10,6,8,19,48
1962,39,09/29/1962,8,AZ,Phoenix,4,79,8,3,12,21,35
1962,40,10/06/1962,8,AZ,Phoenix,3,82,8,5,10,17,42
1962,41,10/13/1962,8,AZ,Phoenix,8,75,8,2,4,20,41
1962,42,10/20/1962,8,AZ,Phoenix,3,115,9,8,7,34,57
1962,43,10/27/1962,8,AZ,Phoenix,4,87,5,2,5,23,52
1962,44,11/03/1962,8,AZ,Phoenix,5,73,9,4,8,12,40
1962,45,11/10/1962,8,AZ,Phoenix,1,63,6,3,5,18,31
1962,46,11/17/1962,8,AZ,Phoenix,3,97,4,3,6,29,55
1962,47,11/24/1962,8,AZ,Phoenix,1,66,8,0,4,17,37
1962,48,12/01/1962,8,AZ,Phoenix,5,114,5,7,5,37,60
1962,49,12/08/1962,8,AZ,Phoenix,1,96,9,4,5,35,43
1962,50,12/15/1962,8,AZ,Phoenix,2,86,7,5,7,24,43
1962,51,12/22/1962,8,AZ,Phoenix,4,114,9,2,7,34,62
1962,52,12/29/1962,8,AZ,Phoenix,4,70,6,1,3,20,40
1963,1,01/05/1963,8,AZ,Phoenix,3,99,8,7,8,25,51
1963,2,01/12/1963,8,AZ,Phoenix,9,101,9,6,7,29,50
1963,3,01/19/1963,8,AZ,Phoenix,4,69,6,3,6,14,40
1963,4,01/26/1963,8,AZ,Phoenix,12,134,13,1,12,39,69
1963,5,02/02/1963,8,AZ,Phoenix,5,102,4,3,11,30,54
1963,6,02/09/1963,8,AZ,Phoenix,5,116,5,4,8,37,62
1963,7,02/16/1963,8,AZ,Phoenix,2,76,3,1,5,25,42
1963,8,02/23/1963,8,AZ,Phoenix,4,105,5,4,8,23,65
1963,9,03/02/1963,8,AZ,Phoenix,3,120,11,3,9,39,58
1963,10,03/09/1963,8,AZ,Phoenix,5,106,2,3,8,28,65
1963,11,03/16/1963,8,AZ,Phoenix,7,94,8,5,3,26,52
1963,12,03/23/1963,8,AZ,Phoenix,6,121,9,5,8,19,80
1963,13,03/30/1963,8,AZ,Phoenix,6,120,1,7,8,38,66
1963,14,04/06/1963,8,AZ,Phoenix,4,143,7,4,15,29,88
1963,15,04/13/1963,8,AZ,Phoenix,4,91,7,4,4,23,53
1963,16,04/20/1963,8,AZ,Phoenix,5,98,3,4,6,28,57
