Year,WEEK,Week Ending Date,REGION,State,City,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
1962,1,01/06/1962,7,TX,San Antonio,7,131,6,3,14,39,69
1962,2,01/13/1962,7,TX,San Antonio,10,131,8,5,8,41,69
1962,3,01/20/1962,7,TX,San Antonio,5,145,16,3,5,25,96
1962,4,01/27/1962,7,TX,San Antonio,4,132,11,7,9,27,78
1962,5,02/03/1962,7,TX,San Antonio,11,108,10,9,11,25,53
1962,6,02/10/1962,7,TX,San Antonio,8,85,8,5,7,16,49
1962,7,02/17/1962,7,TX,San Antonio,9,119,9,5,4,35,66
1962,8,02/24/1962,7,TX,San Antonio,5,111,7,7,3,34,60
1962,9,03/03/1962,7,TX,San Antonio,5,107,6,3,12,30,56
1962,10,03/10/1962,7,TX,San Antonio,8,130,11,8,9,35,67
1962,11,03/17/1962,7,TX,San Antonio,8,101,9,7,9,20,56
1962,12,03/24/1962,7,TX,San Antonio,3,134,12,4,14,41,63
1962,13,03/31/1962,7,TX,San Antonio,4,111,13,6,10,22,60
1962,14,04/07/1962,7,TX,San Antonio,5,95,12,3,10,15,55
1962,15,04/14/1962,7,TX,San Antonio,7,129,7,15,8,31,68
1962,16,04/21/1962,7,TX,San Antonio,3,118,11,7,8,37,55
1962,17,04/28/1962,7,TX,San Antonio,2,99,7,8,7,24,53
1962,18,05/05/1962,7,TX,San Antonio,2,109,9,5,5,32,58
1962,19,05/12/1962,7,TX,San Antonio,3,88,7,5,8,25,43
1962,20,05/19/1962,7,TX,San Antonio,3,97,10,7,8,22,50
1962,21,05/26/1962,7,TX,San Antonio,2,90,8,3,7,27,45
1962,22,06/02/1962,7,TX,San Antonio,6,110,4,9,7,29,61
1962,23,06/09/1962,7,TX,San Antonio,2,99,9,6,9,32,43
1962,24,06/16/1962,7,TX,San Antonio,2,94,7,5,10,26,46
1962,25,06/23/1962,7,TX,San Antonio,2,112,13,4,9,28,58
1962,26,06/30/1962,7,TX,San Antonio,5,103,8,7,4,20,64
1962,27,07/07/1962,7,TX,San Antonio,8,103,11,0,11,21,60
1962,28,07/14/1962,7,TX,San Antonio,0,104,7,7,10,18,62
1962,29,07/21/1962,7,TX,San Antonio,5,107,7,7,9,23,61
1962,30,07/28/1962,7,TX,San Antonio,7,106,11,3,7,22,63
1962,31,08/04/1962,7,TX,San Antonio,10,112,7,9,9,26,61
1962,32,08/11/1962,7,TX,San Antonio,5,109,15,7,7,18,62
1962,33,08/18/1962,7,TX,San Antonio,5,145,7,12,11,38,77
1962,34,08/25/1962,7,TX,San Antonio,7,134,19,8,4,21,82
1962,35,09/01/1962,7,TX,San Antonio,1,108,8,1,6,30,63
1962,36,09/08/1962,7,TX,San Antonio,3,97,6,5,10,29,47
1962,37,09/15/1962,7,TX,San Antonio,3,71,8,1,6,22,34
1962,38,09/22/1962,7,TX,San Antonio,2,97,11,4,12,27,43
1962,39,09/29/1962,7,TX,San Antonio,4,88,6,2,6,29,45
1962,40,10/06/1962,7,TX,San Antonio,3,79,4,7,8,16,44
1962,41,10/13/1962,7,TX,San Antonio,5,135,16,6,7,34,72
1962,42,10/20/1962,7,TX,San Antonio,4,111,12,8,7,23,61
1962,43,10/27/1962,7,TX,San Antonio,4,98,13,4,8,26,47
1962,44,11/03/1962,7,TX,San Antonio,2,110,10,6,4,31,59
1962,45,11/10/1962,7,TX,San Antonio,2,83,4,8,6,21,44
1962,46,11/17/1962,7,TX,San Antonio,2,96,4,3,5,27,57
1962,47,11/24/1962,7,TX,San Antonio,1,83,10,2,8,19,44
1962,48,12/01/1962,7,TX,San Antonio,4,121,10,5,9,30,67
1962,49,12/08/1962,7,TX,San Antonio,3,114,11,6,5,42,50
1962,50,12/15/1962,7,TX,San Antonio,6,108,15,4,9,25,55
1962,51,12/22/1962,7,TX,San Antonio,8,124,14,6,11,25,68
1962,52,12/29/1962,7,TX,San Antonio,6,88,8,2,7,20,51
1963,1,01/05/1963,7,TX,San Antonio,10,134,12,6,9,38,69
1963,2,01/12/1963,7,TX,San Antonio,8,133,12,6,7,33,75
1963,3,01/19/1963,7,TX,San Antonio,12,145,11,7,11,32,84
1963,4,01/26/1963,7,TX,San Antonio,7,123,5,11,8,27,72
1963,5,02/02/1963,7,TX,San Antonio,12,129,8,4,9,30,78
1963,6,02/09/1963,7,TX,San Antonio,5,103,6,4,9,30,54
1963,7,02/16/1963,7,TX,San Antonio,5,111,8,9,13,29,52
1963,8,02/23/1963,7,TX,San Antonio,5,124,15,3,14,22,70
1963,9,03/02/1963,7,TX,San Antonio,11,110,6,6,7,31,60
1963,10,03/09/1963,7,TX,San Antonio,9,143,14,3,9,35,82
1963,11,03/16/1963,7,TX,San Antonio,9,125,9,3,12,24,77
1963,12,03/23/1963,7,TX,San Antonio,18,126,11,3,7,33,72
1963,13,03/30/1963,7,TX,San Antonio,8,126,12,3,7,34,70
1963,14,04/06/1963,7,TX,San Antonio,6,122,6,5,9,32,70
1963,15,04/13/1963,7,TX,San Antonio,11,108,15,6,7,35,45
1963,16,04/20/1963,7,TX,San Antonio,4,88,6,5,4,22,51
1963,17,04/27/1963,7,TX,San Antonio,4,115,12,6,7,36,54
1963,18,05/04/1963,7,TX,San Antonio,3,89,9,5,7,21,47
1963,19,05/11/1963,7,TX,San Antonio,1,91,5,10,6,24,46
1963,20,05/18/1963,7,TX,San Antonio,1,93,10,9,10,15,49
1963,21,05/25/1963,7,TX,San Antonio,3,90,6,8,4,27,45
1963,22,06/01/1963,7,TX,San Antonio,3,87,7,4,3,20,53
1963,23,06/08/1963,7,TX,San Antonio,2,113,11,7,12,27,56
1963,24,06/15/1963,7,TX,San Antonio,4,115,10,4,9,34,58
1963,25,06/22/1963,7,TX,San Antonio,6,100,6,7,9,23,55
