Year,WEEK,Week Ending Date,REGION,State,City,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
1962,1,01/06/1962,9,CA,San Diego,4,94,8,6,4,22,54
1962,2,01/13/1962,9,CA,San Diego,6,111,17,1,8,35,50
1962,3,01/20/1962,9,CA,San Diego,2,114,9,1,14,28,62
1962,4,01/27/1962,9,CA,San Diego,1,97,13,2,6,19,57
1962,5,02/03/1962,9,CA,San Diego,4,99,11,4,4,22,58
1962,6,02/10/1962,9,CA,San Diego,6,107,13,4,9,23,58
1962,7,02/17/1962,9,CA,San Diego,5,97,8,4,7,29,49
1962,8,02/24/1962,9,CA,San Diego,0,80,5,8,4,15,48
1962,9,03/03/1962,9,CA,San Diego,1,89,9,4,5,24,47
1962,10,03/10/1962,9,CA,San Diego,2,97,7,3,6,28,53
1962,11,03/17/1962,9,CA,San Diego,5,86,9,4,6,20,47
1962,12,03/24/1962,9,CA,San Diego,4,80,11,2,10,18,39
1962,13,03/31/1962,9,CA,San Diego,2,124,13,6,8,28,69
1962,14,04/07/1962,9,CA,San Diego,2,85,5,2,4,25,49
1962,15,04/14/1962,9,CA,San Diego,4,99,10,3,5,31,50
1962,16,04/21/1962,9,CA,San Diego,0,92,11,1,6,21,53
1962,17,04/28/1962,9,CA,San Diego,1,88,10,4,11,17,46
1962,18,05/05/1962,9,CA,San Diego,2,86,11,7,3,21,44
1962,19,05/12/1962,9,CA,San Diego,4,109,8,3,11,34,53
1962,20,05/19/1962,9,CA,San Diego,3,76,7,3,5,21,40
1962,21,05/26/1962,9,CA,San Diego,1,90,13,6,2,16,53
1962,22,06/02/1962,9,CA,San Diego,2,79,8,7,1,17,46
1962,23,06/09/1962,9,CA,San Diego,1,79,0,4,5,24,46
1962,24,06/16/1962,9,CA,San Diego,2,92,8,4,5,22,53
1962,25,06/23/1962,9,CA,San Diego,4,91,6,7,6,23,49
1962,26,06/30/1962,9,CA,San Diego,3,81,8,4,3,12,54
1962,27,07/07/1962,9,CA,San Diego,3,85,10,6,6,18,45
1962,28,07/14/1962,9,CA,San Diego,3,110,8,5,5,27,65
1962,29,07/21/1962,9,CA,San Diego,4,83,5,4,10,25,39
1962,30,07/28/1962,9,CA,San Diego,1,103,12,9,8,31,43
1962,31,08/04/1962,9,CA,San Diego,1,92,10,2,11,27,42
1962,32,08/11/1962,9,CA,San Diego,5,92,8,3,7,27,47
1962,33,08/18/1962,9,CA,San Diego,0,71,14,1,4,13,39
1962,34,08/25/1962,9,CA,San Diego,3,98,10,2,12,32,42
1962,35,09/01/1962,9,CA,San Diego,2,84,7,7,9,20,41
1962,36,09/08/1962,9,CA,San Diego,1,81,8,3,7,21,42
1962,37,09/15/1962,9,CA,San Diego,0,66,2,4,6,12,42
1962,38,09/22/1962,9,CA,San Diego,3,100,11,2,6,23,58
1962,39,09/29/1962,9,CA,San Diego,3,82,8,2,2,21,49
1962,40,10/06/1962,9,CA,San Diego,2,116,12,3,5,25,71
1962,41,10/13/1962,9,CA,San Diego,1,93,6,5,9,22,51
1962,42,10/20/1962,9,CA,San Diego,2,92,9,2,9,32,40
